https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,確認番号,申請者1,申請者2,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設名,施設-電話番号1,業種,業態,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台帳番号,許可番号,申請者法人名称,申請者氏名,,営業施設所在地,,,営業施設名称,営業施設電話番号,営業の種類,業態,許可年月日,許可満了日,初回許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
00-002611,鶴生指令第378,株式会社キョクレイ,,神奈川県,横浜市鶴見区大黒ふ頭15,横浜市鶴見区大黒ふ頭１５,,株式会社キョクレイ大黒物流センター ,045-506-0802,清涼飲料水製造業,,2022年1月13日,2029年1月12日,2022年1月13日,,141,株式会社キョクレイ大黒物流センター ,045,045-506-0802,,,,神奈川県　横浜市鶴見区大黒ふ頭１５,神奈川県横浜市鶴見区大黒ふ頭１５,,78307,14,14101,大黒ふ頭,,2022/01/13,2022/01/13,,2029/01/12,株式会社キョクレイ,,,,,,,,,,鶴生指令第378,,清涼飲料水製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_19,E,10,,,株式会社キョクレイ大黒物流センタ045-506-08027830714101,903ebca2-27c7-42e0-9bf1-45e50be974e1,株式会社キョクレイ,d531e361-b085-4486-9837-03e6b5100e44,0b94ba2f-1ab9-41e9-89cb-c6e692902ffb,2022/01/13,株式会社キョクレイ大黒物流センター　,株式会社キョクレイ大黒物流センタ,株式会社キョクレイ
00-037024,鶴生指令第389,矢野フードサービス有限会社,,神奈川県,横浜市鶴見区佃野町34-1,横浜市鶴見区佃野町３４－１,,ローソン横浜鶴見佃野町店 ,575-1212,飲食店営業,,2022年1月21日,2029年1月20日,2022年1月21日,,141,ローソン横浜鶴見佃野町店 ,045,045-575-1212,,,,神奈川県　横浜市鶴見区佃野町３４－１,神奈川県横浜市鶴見区佃野町３４－１,,78305,14,14101,佃野町,,2022/01/21,2022/01/21,,2029/01/20,矢野フードサービス有限会社,,,,,,,,,,鶴生指令第389,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_19,M,76,,,ロソン横浜鶴見佃野町店045-575-12127830514101,00141_ea901391-1142-4d89-b600-b063855e19fa,矢野フードサービス有限会社,ea00bbca-c8ee-4014-8cc3-d2442a861da4,6730649d-2f6d-4b0d-8621-a6871be76d30,2022/01/21,ローソン横浜鶴見佃野町店　,ロソン横浜鶴見佃野町店,矢野フードサービス有限会社
00-037037,鶴生指令第368,株式会社勝,,神奈川県,横浜市鶴見区鶴見中央4-1-1 銀座ビル 1F,横浜市鶴見区鶴見中央４－１－１,銀座ビル １F,中国小皿料理　美食苑 ,508-0555,飲食店営業,中華料理店,2022年1月4日,2029年1月3日,2022年1月4日,,141,中国小皿料理　美食苑 ,045,045-508-0555,,,,神奈川県　横浜市鶴見区鶴見中央４－１－１,神奈川県横浜市鶴見区鶴見中央４－１－１,銀座ビル １F,78311,14,14101,鶴見中央４,,2022/01/04,2022/01/04,,2029/01/03,株式会社勝,,,,,,,,,,鶴生指令第368,,飲食店営業, 中華料理店,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_19,M,76,,,中国小皿料理美食苑045-508-05557831114101,7c046632-2965-4890-9840-8536678580ff,株式会社勝,cf496747-7eea-4bcf-b528-bd5b1b61221b,c24524d8-ac3f-462e-8915-6c80458debda,2022/01/04,中国小皿料理　美食苑　,中国小皿料理美食苑,株式会社勝
00-037044,鶴生指令第393,,安藤 香織,神奈川県,横浜市鶴見区下末吉4-20-16 青木ビル１階３号室,横浜市鶴見区下末吉４－２０－１６,青木ビル１階３号室,パブ　ＲＩＯ ,045-717-8639,飲食店営業,,2022年1月25日,2029年1月24日,2022年1月25日,,141,パブ　ＲＩＯ ,045,045-717-8639,,,,神奈川県　横浜市鶴見区下末吉４－２０－１６,神奈川県横浜市鶴見区下末吉４－２０－１６,青木ビル１階３号室,78246,14,14101,下末吉４,,2022/01/25,2022/01/25,,2029/01/24,,安藤 香織,,,,,,,,,鶴生指令第393,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_19,M,76,,,パブＲＩＯ045-717-86397824614101,33a023a4-6735-46b3-9c50-7543ca54b25e,,personal,62742fca-9a4c-492f-a729-389110c6bc71,2022/01/25,パブ　ＲＩＯ　,パブＲＩＯ,
00-037049,鶴生指令第391,株式会社ＪＲ東日本クロスステーション,,神奈川県,横浜市鶴見区鶴見中央1-1-1,横浜市鶴見区鶴見中央１－１－１,,ＮＥＷＤＡＹＳ鶴見西口 ,045-508-0051,飲食店営業,,2022年1月25日,2029年1月24日,2022年1月25日,,141,ＮＥＷＤＡＹＳ鶴見西口 ,045,045-508-0051,,,,神奈川県　横浜市鶴見区鶴見中央１－１－１,神奈川県横浜市鶴見区鶴見中央１－１－１,,78308,14,14101,鶴見中央１,,2022/01/25,2022/01/25,,2029/01/24,株式会社ＪＲ東日本クロスステーション,,,,,,,,,,鶴生指令第391,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_19,M,76,,,ＮＥＷＤＡＹＳ鶴見西口045-508-00517830814101,00141_b447ba5b-9b05-421f-91cb-80d2aa4c30c9,株式会社ＪＲ東日本クロスステーション,627b9af0-b449-45a4-8818-8af2146b3322,6b6bae3a-d77d-4fbe-9852-72df378581f4,2022/01/25,ＮＥＷＤＡＹＳ鶴見西口　,ＮＥＷＤＡＹＳ鶴見西口,株式会社ＪＲ東日本クロスステーション
00-037576,鶴生指令第371,株式会社ヨシックスフーズ,,神奈川県,横浜市鶴見区矢向6-11-17,横浜市鶴見区矢向６－１１－１７,,や台ずし　矢向駅前町 ,582-5928,飲食店営業,,2022年1月5日,2028年1月4日,2022年1月5日,,141,や台ずし　矢向駅前町 ,045,045-582-5928,,,,神奈川県　横浜市鶴見区矢向６－１１－１７,神奈川県横浜市鶴見区矢向６－１１－１７,,78304,14,14101,矢向６,,2022/01/05,2022/01/05,,2028/01/04,株式会社ヨシックスフーズ,,,,,,,,,,鶴生指令第371,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_19,M,76,,,や台ずし矢向駅前町045-582-59287830414101,78d31828-69c3-4735-ba7c-464afa69f736,株式会社ヨシックスフーズ,33157576-e0b7-487b-b12b-ab23fec34588,1dcc16a8-5c74-4f5e-84ee-6a8057c9c819,2022/01/05,や台ずし　矢向駅前町　,や台ずし矢向駅前町,株式会社ヨシックスフーズ
00-037633,鶴生指令第390,株式会社ＪＲ東日本クロスステーション,,神奈川県,横浜市鶴見区鶴見中央1-1-1 改札内コンコース,横浜市鶴見区鶴見中央１－１－１,改札内コンコース,ＮＥＷＤＡＹＳ鶴見 ,045-510-3078,飲食店営業,,2022年1月25日,2028年1月24日,2022年1月25日,,141,ＮＥＷＤＡＹＳ鶴見 ,045,045-510-3078,,,,神奈川県　横浜市鶴見区鶴見中央１－１－１,神奈川県横浜市鶴見区鶴見中央１－１－１,改札内コンコース,78308,14,14101,鶴見中央１,,2022/01/25,2022/01/25,,2028/01/24,株式会社ＪＲ東日本クロスステーション,,,,,,,,,,鶴生指令第390,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_19,M,76,,,ＮＥＷＤＡＹＳ鶴見045-510-30787830814101,00141_6de263ca-615d-4e76-9b70-0ffc4f9ab662,株式会社ＪＲ東日本クロスステーション,627b9af0-b449-45a4-8818-8af2146b3322,0eec2ddf-7745-45fc-8216-28bd6bcebe1c,2022/01/25,ＮＥＷＤＡＹＳ鶴見　,ＮＥＷＤＡＹＳ鶴見,株式会社ＪＲ東日本クロスステーション
00-038194,鶴生指令第398,株式会社ジャパンビバレッジホールディングス,,神奈川県,横浜市鶴見区生麦2-3-1,横浜市鶴見区生麦２－３－１,,ＡＧＣグラスプロダクツ株式会社 ,947-3900,調理の機能を有する自動販売機,,2022年1月25日,2027年1月24日,2022年1月25日,,141,ＡＧＣグラスプロダクツ株式会社 ,045,045-947-3900,,,,神奈川県　横浜市鶴見区生麦２－３－１,神奈川県横浜市鶴見区生麦２－３－１,,78263,14,14101,生麦２,,2022/01/25,2022/01/25,,2027/01/24,株式会社ジャパンビバレッジホールディングス,,,,,,,,,,鶴生指令第398,,調理機能を有する自動販売機,調理の機能を有する,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_19,I,61,612,,ＡＧＣグラスプロダクツ株式会社045-947-39007826314101,70f7cfef-f3fd-4e7b-956c-3e464bdbc75b,株式会社ジャパンビバレッジホールディングス,9b85ea26-6070-4f20-b5da-ae1fb3153823,64be02dd-b4c8-41e6-9c20-932e61155546,2022/01/25,ＡＧＣグラスプロダクツ株式会社,ＡＧＣグラスプロダクツ株式会社,株式会社ジャパンビバレッジホールディングス
00-041261,鶴生指令第369,株式会社バルコムライフスタイル,,神奈川県,横浜市鶴見区栄町通2-21-4,横浜市鶴見区栄町通２－２１－４,,ハワイアンスイーツカンパニー ,,菓子製造業,,2022年1月7日,2028年1月6日,2022年1月7日,,141,ハワイアンスイーツカンパニー ,045,,,,,神奈川県　横浜市鶴見区栄町通２－２１－４,神奈川県横浜市鶴見区栄町通２－２１－４,,78230,14,14101,栄町通２,,2022/01/07,2022/01/07,,2028/01/06,株式会社バルコムライフスタイル,,,,,,,,,,鶴生指令第369,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_19,E,9,,,ハワイアンスイツカンパニ7823014101,80802fa9-bab3-421e-9c4c-93ec3032d143,株式会社バルコムライフスタイル,ac115f53-91bd-4d74-850d-196ac91386a8,1be2d31e-3c9c-4595-9cb6-716b6523518c,2022/01/07,ハワイアンスイーツカンパニー　,ハワイアンスイツカンパニ,株式会社バルコムライフスタイル
