法人番号,申請者1,申請者2,,申請-住所1,申請-住所2,申請-住所3,申請-住所4,申請-マンション名,申請-電話番号1,,施設名,郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,,許可年月日,許可期間開始日,許可期間終了日,その他,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法人番号（申請・届出者）,氏名（法人の場合は法人名）（申請・届出者）,法人の代表者の氏名（申請・届出者）,郵便番号（申請・届出者）,都道府県（申請・届出者）,市区町村（申請・届出者）,町域（申請・届出者）,番地等（申請・届出者）,マンション名等（申請・届出者）,電話番号（申請・届出者）,ファクシミリ番号（申請・届出者）,営業施設名称、屋号又は商号,郵便番号（営業施設）,都道府県（営業施設）,市区町村（営業施設）,町域（営業施設）,番地等（営業施設）,マンション名等（営業施設）,電話番号（営業施設）,営業の種類,廃業年月日,許可年月日,許可開始日,許可満了日,許可条件,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
4010401093002,株式会社ユニマットプレシャス,高橋　洋二,1070062,東京都,港区,南青山２丁目,１２番１４号,,03-5770-2080,0357702071,大和不動カントリー倶楽部,8400214,佐賀県,佐賀市,大和町川上,５５７６,,0952-60-0200,① 飲食店営業,,2021/9/1,2021/9/1,2027/8/31,　　　,,408,大和不動カントリー倶楽部,0952,0952-60-0200,,,,佐賀県　佐賀市　大和町川上　５５７６,佐賀県佐賀市大和町川上５５７６,,204903,41,41201,大和町川上,,,2021/09/01,2021/09/01,2027/08/31,株式会社ユニマットプレシャス,高橋　洋二,03-5770-2080,東京都　港区　南青山２丁目　１２番１４号,東京都港区南青山２丁目１２番１４号,,73138,東京都,港区,南青山２,,,飲食店営業,,　　　,4010401093002,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,大和不動カントリ倶楽部0952-60-020020490341201,62a7f3ff-4bab-4964-9bf8-883c05e8c986,株式会社ユニマットプレシャス73138,3c9a4796-3ace-4a91-93a0-c411b3b25349,aa1604a3-0620-4796-88bf-346d5c035071,2021/09/01,大和不動カントリー倶楽部,大和不動カントリ倶楽部,株式会社ユニマットプレシャス
8300001009770,麺‘s株式会社,岸誠,8400016,佐賀県,佐賀市,南佐賀,２－１５－１８,,095-227-0588,,味の時計台　佐賀南店,8400016,佐賀県,佐賀市,南佐賀,２－１５－１８,,0952-27-0588,① 飲食店営業,,2021/9/1,2021/9/1,2027/8/31,　,,408,味の時計台　佐賀南店,0952,0952-27-0588,,,,佐賀県　佐賀市　南佐賀　２－１５－１８,佐賀県佐賀市南佐賀２－１５－１８,,204859,41,41201,南佐賀２,,,2021/09/01,2021/09/01,2027/08/31,麺‘s株式会社,岸誠,095-227-0588,佐賀県　佐賀市　南佐賀　２－１５－１８,佐賀県佐賀市南佐賀２－１５－１８,,204859,佐賀県,佐賀市,南佐賀２,,,飲食店営業,,　,8300001009770,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,味の時計台佐賀南店0952-27-058820485941201,a0026778-46de-4086-915f-1cea4844f949,麺＇ｓ株式会社204859,a612f1a2-1532-46de-abe3-b7bdf33c244b,ffd39aef-2fae-4756-b26c-10ca963228b1,2021/09/01,味の時計台　佐賀南店,味の時計台佐賀南店,麺＇ｓ株式会社
2300002008372,有限会社　副島陶園,大川直美,8440027,佐賀県,西松浦郡有田町,南原甲,879-13,,095-542-3345,,大カ〇うどん,8440027,佐賀県,西松浦郡有田町,南原甲,879-13,,0955-42-3345,① 飲食店営業,,2021/10/22,2021/10/22,2027/11/30,　,,411,大カ〇うどん,0955,0955-42-3345,,,,佐賀県　西松浦郡有田町　南原甲　879-13,佐賀県西松浦郡有田町南原甲８７９－１３,,205651,41,41401,南原甲,,,2021/10/22,2021/10/22,2027/11/30,有限会社　副島陶園,大川直美,095-542-3345,佐賀県　西松浦郡有田町　南原甲　879-13,佐賀県西松浦郡有田町南原甲８７９－１３,,205651,佐賀県,西松浦郡有田町,南原甲,,,飲食店営業,,　,2300002008372,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,大カうどん0955-42-334520565141401,9e14b2ba-4838-477e-ab17-51e4c10b265b,有限会社副島陶園205651,d56711d8-cefd-45d8-9c45-5c57a898e986,a06ac6b9-9609-476f-89bc-79170410d0a4,2021/10/22,大カ〇うどん,大カうどん,有限会社副島陶園
5300001001045,山代ガス株式会社,大塚浩司,8400857,佐賀県,佐賀市,鍋島町八戸,2153番地1,,095-225-1273,,旬菜舎　さと山,8400544,佐賀県,佐賀市,富士町下合瀬,山神739-1,,0952-57-3101,① 飲食店営業,,2021/9/1,2021/9/1,2027/8/31,　,,408,旬菜舎　さと山,0952,0952-57-3101,,,,佐賀県　佐賀市　富士町下合瀬　山神739-1,佐賀県佐賀市富士町下合瀬山神７３９－１,,204880,41,41201,富士町下合瀬,,,2021/09/01,2021/09/01,2027/08/31,山代ガス株式会社,大塚浩司,095-225-1273,佐賀県　佐賀市　鍋島町八戸　2153番地1,佐賀県佐賀市鍋島町八戸２１５３番地１,,204757,佐賀県,佐賀市,鍋島町八戸,,,飲食店営業,,　,5300001001045,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,旬菜舎さと山0952-57-310120488041201,0987f247-fe74-4055-85b5-e7410027209b,山代ガス株式会社204757,28b58eb1-6959-4804-b19c-daec7eca09e8,1889fb32-1001-49cf-a6c1-1a32c02b07d0,2021/09/01,旬菜舎　さと山,旬菜舎さと山,山代ガス株式会社
3300001008100,株式会社わっしょい,吉田洋介,8400857,佐賀県,佐賀市,鍋島町八戸,３１３８　,山田ビル１０３号,095-297-7774,,株式会社わっしょい,8400857,佐賀県,佐賀市,鍋島町八戸,３１３８,山田ビル１０３号 ,0952-97-7774,③ 食肉販売業,,2021/12/1,2021/12/1,2027/11/30,　,,408,株式会社わっしょい,0952,0952-97-7774,,,,佐賀県　佐賀市　鍋島町八戸　３１３８,佐賀県佐賀市鍋島町八戸３１３８,山田ビル１０３号 ,204757,41,41201,鍋島町八戸,,,2021/12/01,2021/12/01,2027/11/30,株式会社わっしょい,吉田洋介,095-297-7774,佐賀県　佐賀市　鍋島町八戸　３１３８　,佐賀県佐賀市鍋島町八戸３１３８,山田ビル１０３号,204757,佐賀県,佐賀市,鍋島町八戸,,,食肉販売業,,　,3300001008100,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,I,58,583,,株式会社わっしょい0952-97-777420475741201,2cfba210-fcb8-4d3f-9b82-c2e2257271a2,株式会社わっしょい204757,8b638efb-7b3c-41a4-83d9-979057156b41,dda8fae3-19b5-4dca-995f-7c9bd9f28bfd,2021/12/01,株式会社わっしょい,株式会社わっしょい,株式会社わっしょい
3300001008100,株式会社わっしょい,吉田洋介,8400857,佐賀県,佐賀市,鍋島町八戸,３１３８　,山田ビル１０３号,095-297-7774,,株式会社わっしょい,8400857,佐賀県,佐賀市,鍋島町八戸,３１３８,山田ビル１０３号 ,0952-97-7774,⑨ 食肉処理業,,2021/12/1,2021/12/1,2027/11/30,と殺放血行為を伴わない処理に限る,,408,株式会社わっしょい,0952,0952-97-7774,,,,佐賀県　佐賀市　鍋島町八戸　３１３８,佐賀県佐賀市鍋島町八戸３１３８,山田ビル１０３号 ,204757,41,41201,鍋島町八戸,,,2021/12/01,2021/12/01,2027/11/30,株式会社わっしょい,吉田洋介,095-297-7774,佐賀県　佐賀市　鍋島町八戸　３１３８　,佐賀県佐賀市鍋島町八戸３１３８,山田ビル１０３号,204757,佐賀県,佐賀市,鍋島町八戸,,,食肉処理業,,と殺放血行為を伴わない処理に限る,3300001008100,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,A,1,,,株式会社わっしょい0952-97-777420475741201,2cfba210-fcb8-4d3f-9b82-c2e2257271a2,株式会社わっしょい204757,8b638efb-7b3c-41a4-83d9-979057156b41,07b11f4b-983b-4706-8cac-21e37614e7b5,2021/12/01,株式会社わっしょい,株式会社わっしょい,株式会社わっしょい
8300002001982,有限会社旭屋,田中修,8490931,佐賀県,佐賀市,鍋島町蛎久,1185-1,,0952-20-2234,,旭屋,8410051,佐賀県,鳥栖市,元町,1234-1,県内一円,,① 飲食店営業,,2021/11/30,2021/12/1,2026/11/30,供食前十分加熱処理されたものに限る,,409,旭屋,0942,,,,,佐賀県　鳥栖市　元町　1234-1,佐賀県鳥栖市元町１２３４－１,県内一円,205255,41,41203,元町,,,2021/11/30,2021/12/01,2026/11/30,有限会社旭屋,田中修,0952-20-2234,佐賀県　佐賀市　鍋島町蛎久　1185-1,佐賀県佐賀市鍋島町蛎久１１８５－１,,204754,佐賀県,佐賀市,鍋島町蛎久,,,飲食店営業,,供食前十分加熱処理されたものに限る,8300002001982,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,旭屋20525541203,aa98e6bf-4199-4f65-9343-11a28e166668,有限会社旭屋204754,482536a5-6300-4fdd-8c88-5dfeafa82497,9c1b7ca7-8479-4dcc-ab56-b25e6faf6cf5,2021/11/30,旭屋,旭屋,有限会社旭屋
4300002005624,有限会社れんげどう,岩松宏明,8490931,佐賀県,佐賀市,鍋島町蛎久,1717-3,,095-232-4068,0952324078,岩松養蜂店,8490931,佐賀県,佐賀市,鍋島町蛎久,１７１７－３,,0952-32-4068,① 飲食店営業,,2021/12/1,2021/12/1,2027/11/30,　,,408,岩松養蜂店,0952,0952-32-4068,,,,佐賀県　佐賀市　鍋島町蛎久　１７１７－３,佐賀県佐賀市鍋島町蛎久１７１７－３,,204754,41,41201,鍋島町蛎久,,,2021/12/01,2021/12/01,2027/11/30,有限会社れんげどう,岩松宏明,095-232-4068,佐賀県　佐賀市　鍋島町蛎久　1717-3,佐賀県佐賀市鍋島町蛎久１７１７－３,,204754,佐賀県,佐賀市,鍋島町蛎久,,,飲食店営業,,　,4300002005624,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,岩松養蜂店0952-32-406820475441201,cb897ce9-0e5e-4452-990d-51a809401efc,有限会社れんげどう204754,a805d508-09b1-4f11-aef5-d585200321ab,01a0ac46-e947-41a8-82c1-3f6756388b9a,2021/12/01,岩松養蜂店,岩松養蜂店,有限会社れんげどう
5300001005442,株式会社　ACE,常欣,8490937,佐賀県,佐賀市,鍋島,4-3-6,,0952-30-8100,0952-30-8101,医大前グリーンホテル,8490937,佐賀県,佐賀市,鍋島,4-3-6,,0952-30-8100,① 飲食店営業,,2021/12/1,2021/12/1,2027/11/30,　,,408,医大前グリーンホテル,0952,0952-30-8100,,,,佐賀県　佐賀市　鍋島　4-3-6,佐賀県佐賀市鍋島４－３－６,,204838,41,41201,鍋島４,,,2021/12/01,2021/12/01,2027/11/30,株式会社　ACE,常欣,0952-30-8100,佐賀県　佐賀市　鍋島　4-3-6,佐賀県佐賀市鍋島４－３－６,,204838,佐賀県,佐賀市,鍋島４,,,飲食店営業,,　,5300001005442,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,医大前グリンホテル0952-30-810020483841201,a5dd77b8-504e-467d-9245-c66573d36fab,株式会社ＡＣＥ204838,4596e079-6a15-4f3f-ad26-e2b7e53f0719,246ba8ca-c8f0-446d-bc1a-2d59cd8339ed,2021/12/01,医大前グリーンホテル,医大前グリンホテル,株式会社ＡＣＥ
1300002000974,有限会社テイクス,坂井一二三,8490937,佐賀県,佐賀市,鍋島三丁目,１３６番地,,095-233-0660,,焼肉竜馬,8498585,佐賀県,佐賀市,八丁畷町,1-20,県内一円,,① 飲食店営業,,2021/12/1,2021/12/1,2026/11/30,供食前十分加熱処理されたものに限る,,408,焼肉竜馬,0952,,,,,佐賀県　佐賀市　八丁畷町　1-20,佐賀県佐賀市八丁畷町１－２０,県内一円,204818,41,41201,八丁畷町,,,2021/12/01,2021/12/01,2026/11/30,有限会社テイクス,坂井一二三,095-233-0660,佐賀県　佐賀市　鍋島三丁目　１３６番地,佐賀県佐賀市鍋島３丁目１３６番地,,204837,佐賀県,佐賀市,鍋島３,,,飲食店営業,,供食前十分加熱処理されたものに限る,1300002000974,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,焼肉竜馬20481841201,105a3c56-744b-4b08-ab79-dd0acebb0d09,有限会社テイクス204837,8363950a-3d92-4a09-936d-b0373be0c946,c24d2de3-3a84-4b36-a94f-38704d37eaea,2021/12/01,焼肉竜馬,焼肉竜馬,有限会社テイクス
8120001068868,西日本高速道路リテール株式会社,古賀𠮷治,5300003,大阪府,大阪市北区,堂島,2丁目4番27号,,06-6343-8330,06-6343-8289,多久西パーキングエリア（下り）ハイウェイショップ,8460031,佐賀県,多久市,多久町,山王3815－2,,0952-75-6982,① 飲食店営業,,2021/9/1,2021/9/1,2027/8/31,　,,408,多久西パーキングエリア（下り）ハイウェイショップ,0952,0952-75-6982,,,,佐賀県　多久市　多久町　山王3815－2,佐賀県多久市多久町山王３８１５－２,,205282,41,41204,多久町,,,2021/09/01,2021/09/01,2027/08/31,西日本高速道路リテール株式会社,古賀𠮷治,06-6343-8330,大阪府　大阪市北区　堂島　2丁目4番27号,大阪府大阪市北区堂島２丁目４番２７号,,155869,大阪府,大阪市北区,堂島２,,,飲食店営業,,　,8120001068868,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,多久西パキングエリア下りハイウェイショップ0952-75-698220528241204,a415bb6a-0aae-4560-8711-ed0619e2448b,西日本高速道路リテール株式会社155869,00d938ef-a318-4677-a618-9c061d12ee38,8b5036ee-298c-4d10-9875-7586664d1662,2021/09/01,多久西パーキングエリア（下り）ハイウェイショップ,多久西パキングエリア下りハイウェイショップ,西日本高速道路リテール株式会社
8120001068868,西日本高速道路リテール株式会社,古賀𠮷治,5300003,大阪府,大阪市北区,堂島,2丁目4番27号,,06-6343-8330,06-6343-8289,多久西パーキングエリア（下り）ハイウェイショップ,8460031,佐賀県,多久市,多久町,山王３８１５－２,,0952-75-6982,① 飲食店営業,,2021/9/1,2021/9/1,2027/8/31,　,,408,多久西パーキングエリア（下り）ハイウェイショップ,0952,0952-75-6982,,,,佐賀県　多久市　多久町　山王３８１５－２,佐賀県多久市多久町山王３８１５－２,,205282,41,41204,多久町,,,2021/09/01,2021/09/01,2027/08/31,西日本高速道路リテール株式会社,古賀𠮷治,06-6343-8330,大阪府　大阪市北区　堂島　2丁目4番27号,大阪府大阪市北区堂島２丁目４番２７号,,155869,大阪府,大阪市北区,堂島２,,,飲食店営業,,　,8120001068868,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,多久西パキングエリア下りハイウェイショップ0952-75-698220528241204,a415bb6a-0aae-4560-8711-ed0619e2448b,西日本高速道路リテール株式会社155869,00d938ef-a318-4677-a618-9c061d12ee38,f530a1ab-1289-4670-a121-d2e037753411,2021/09/01,多久西パーキングエリア（下り）ハイウェイショップ,多久西パキングエリア下りハイウェイショップ,西日本高速道路リテール株式会社
5300001006597,株式会社アイテク,福山徹,,佐賀県,神埼郡吉野ヶ里町,豆田１７５０番地１,,,095-252-3003,,OK　COFFEE　Saga　Roastery,8498585,佐賀県,佐賀市,八丁畷町,1-20,県内一円,,① 飲食店営業,,2021/9/30,2021/9/30,2026/11/30,供食前十分加熱処理されたものに限る,,408,OK　COFFEE　Saga　Roastery,0952,,,,,佐賀県　佐賀市　八丁畷町　1-20,佐賀県佐賀市八丁畷町１－２０,県内一円,204818,41,41201,八丁畷町,,,2021/09/30,2021/09/30,2026/11/30,株式会社アイテク,福山徹,095-252-3003,佐賀県　神埼郡吉野ヶ里町　豆田１７５０番地１　,佐賀県神埼郡吉野が里町豆田１７５０番地１,,205537,佐賀県,神埼郡吉野が里町,豆田,,,飲食店営業,,供食前十分加熱処理されたものに限る,5300001006597,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,ＯＫＣＯＦＦＥＥＳａｇａＲｏａｓｔｅｒｙ20481841201,f10e49b0-33c7-4244-a2f6-0a1e6ac9c336,株式会社アイテク205537,d245c8d8-4237-4385-8c89-ca35a5b5e84a,c35e47e7-81ff-4211-9344-ad610c783301,2021/09/30,ＯＫ　ＣＯＦＦＥＥ　Ｓａｇａ　Ｒｏａｓｔｅｒｙ,ＯＫＣＯＦＦＥＥＳａｇａＲｏａｓｔｅｒｙ,株式会社アイテク
9000020413461,みやき町,岡毅,8490113,佐賀県,三養基郡みやき町,東尾,737番地5,,0942-89-3915,0942-89-3935,みやき町健幸フェスタ,8410051,佐賀県,鳥栖市,元町,,県内一円,,① 飲食店営業,,2021/11/30,2021/12/1,2026/11/30,供食前十分加熱処理されたものに限る,,409,みやき町健幸フェスタ,0942,,,,,佐賀県　鳥栖市　元町　,佐賀県鳥栖市元町,県内一円,205255,41,41203,元町,,,2021/11/30,2021/12/01,2026/11/30,みやき町,岡毅,0942-89-3915,佐賀県　三養基郡みやき町　東尾　737番地5,佐賀県三養基郡みやき町東尾７３７番地５,,205564,佐賀県,三養基郡みやき町,東尾,,,飲食店営業,,供食前十分加熱処理されたものに限る,9000020413461,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,みやき町健幸フェスタ20525541203,ef9cc3b3-e250-4cfe-969c-d1e06de0c335,205564,personal,37da0009-83a0-4631-8394-e2c431b1f15a,2021/11/30,みやき町健幸フェスタ,みやき町健幸フェスタ,みやき町
9000020413461,みやき町,岡毅,8490113,佐賀県,三養基郡みやき町,東尾,737番地5,,0942-89-1655,,みやき町,8410051,佐賀県,鳥栖市,元町,,県内一円,,① 飲食店営業,,2021/11/30,2021/12/1,2026/11/30,供食前十分加熱処理されたもの及び削氷に限る,,409,みやき町,0942,,,,,佐賀県　鳥栖市　元町　,佐賀県鳥栖市元町,県内一円,205255,41,41203,元町,,,2021/11/30,2021/12/01,2026/11/30,みやき町,岡毅,0942-89-1655,佐賀県　三養基郡みやき町　東尾　737番地5,佐賀県三養基郡みやき町東尾７３７番地５,,205564,佐賀県,三養基郡みやき町,東尾,,,飲食店営業,,供食前十分加熱処理されたもの及び削氷に限る,9000020413461,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,みやき町20525541203,27a5ac17-0f8a-4db9-87e6-350011632dfc,205564,personal,ad32290f-847f-49d0-bf3f-ff20f1a08489,2021/11/30,みやき町,みやき町,みやき町
9290001088238,株式会社sug,島﨑信介,8300032,福岡県,久留米市,東町,36-6　,飯田ビル1F,0942-64-9496,0942-64-9496,焼きとりパーラーコジマ商店,8410056,佐賀県,鳥栖市,蔵上,4-120,,,① 飲食店営業,,2021/9/2,2021/9/2,2027/11/30,　,,409,焼きとりパーラーコジマ商店,0942,,,,,佐賀県　鳥栖市　蔵上　4-120,佐賀県鳥栖市蔵上４－１２０,,205269,41,41203,蔵上４,,,2021/09/02,2021/09/02,2027/11/30,株式会社sug,島﨑信介,0942-64-9496,福岡県　久留米市　東町　36-6　,福岡県久留米市東町３６－６,飯田ビル1F,201278,福岡県,久留米市,東町,,,飲食店営業,,　,9290001088238,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,焼きとりパラコジマ商店20526941203,52385c2e-0abd-449e-8b66-18c9a645a87e,株式会社ｓｕｇ201278,78dff418-de17-42a1-9305-e747a50319d5,988c4597-4937-41ab-b8e0-8c535c9e9b58,2021/09/02,焼きとりパーラーコジマ商店,焼きとりパラコジマ商店,株式会社ｓｕｇ
1300001007483,株式会社　KDH,釘本哲也,,佐賀県,唐津市,東町,1-9,,0955-75-2000,,唐津第一ホテル,8470815,佐賀県,唐津市,西寺町,488-1,,0955-74-1000,① 飲食店営業,,2021/9/1,2021/9/1,2027/8/31,　,,410,唐津第一ホテル,0955,0955-74-1000,,,,佐賀県　唐津市　西寺町　488-1,佐賀県唐津市西寺町４８８－１,,205011,41,41202,西寺町,,,2021/09/01,2021/09/01,2027/08/31,株式会社　KDH,釘本哲也,0955-75-2000,佐賀県　唐津市　東町　1-9,佐賀県唐津市東町１－９,,205026,佐賀県,唐津市,東町,,,飲食店営業,,　,1300001007483,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,唐津第一ホテル0955-74-100020501141202,b8d5d62d-fcfd-4795-a9a6-0b3e6cd9d82f,株式会社ＫＤＨ205026,39a441b6-8131-42cb-848a-8af8c42feb35,027dd182-ecf5-4b3b-8be5-7122680be2f5,2021/09/01,唐津第一ホテル,唐津第一ホテル,株式会社ＫＤＨ
4300001003637,株式会社　大平庵,武田耕一,8460012,佐賀県,多久市,東多久町別府,4650,,095-276-2455,,大平庵,8460012,佐賀県,多久市,東多久町別府,4650,,0952-76-2455,㉔ 麺類製造業,,2021/9/1,2021/9/1,2027/8/31,　,,408,大平庵,0952,0952-76-2455,,,,佐賀県　多久市　東多久町別府　4650,佐賀県多久市東多久町別府４６５０,,205287,41,41204,東多久町別府,,,2021/09/01,2021/09/01,2027/08/31,株式会社　大平庵,武田耕一,095-276-2455,佐賀県　多久市　東多久町別府　4650,佐賀県多久市東多久町別府４６５０,,205287,佐賀県,多久市,東多久町別府,,,麺類製造業,,　,4300001003637,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,E,9,,,大平庵0952-76-245520528741204,89135c5e-944f-4a94-b5df-03573e843d92,株式会社大平庵205287,a717ac92-64f7-48ba-b815-4600b35b2bea,3f55250b-4c91-485f-9c5e-9d87a9791840,2021/09/01,大平庵,大平庵,株式会社大平庵
4300001003645,東鶴酒造株式会社,野中保斉,8460012,佐賀県,多久市,東多久町大字別府３６２５番地１,,,0952-76-2421,0952-76-2432,東鶴,8460012,佐賀県,多久市,東多久町別府,3625-1,,0952-76-2421,㉑ 酒類製造業,,2021/9/1,2021/9/1,2027/8/31,　,,408,東鶴,0952,0952-76-2421,,,,佐賀県　多久市　東多久町別府　3625-1,佐賀県多久市東多久町別府３６２５－１,,205287,41,41204,東多久町別府,,,2021/09/01,2021/09/01,2027/08/31,東鶴酒造株式会社,野中保斉,0952-76-2421,佐賀県　多久市　東多久町大字別府３６２５番地１　,佐賀県多久市東多久町別府３６２５番地１,,205287,佐賀県,多久市,東多久町別府,,,酒類製造業,,　,4300001003645,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,E,10,,,東鶴0952-76-242120528741204,981fd910-49d9-4193-ae9f-e61f3abbb2c7,東鶴酒造株式会社205287,59fa2231-d5a8-405e-92c0-49b3f5087ed3,28e7c8fb-61e5-4ea4-9dd3-2b5d55029770,2021/09/01,東鶴,東鶴,東鶴酒造株式会社
4300002020582,有限会社　御宿　海舟,松下隆義,,佐賀県,唐津市,東城内,2－45,,0955-72-8101,,有限会社　御宿　海舟,,佐賀県,唐津市,東城内,2番45号,,,① 飲食店営業,,2021/9/1,2021/9/1,2027/8/31,　,,410,有限会社　御宿　海舟,0955,,,,,佐賀県　唐津市　東城内　2番45号,佐賀県唐津市東城内２番４５号,,205025,41,41202,東城内,,,2021/09/01,2021/09/01,2027/08/31,有限会社　御宿　海舟,松下隆義,0955-72-8101,佐賀県　唐津市　東城内　2－45,佐賀県唐津市東城内２－４５,,205025,佐賀県,唐津市,東城内,,,飲食店営業,,　,4300002020582,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,有限会社御宿海舟20502541202,00d14eb8-b576-44be-9d9c-6abf53172b38,有限会社御宿　海舟205025,b0d82671-0eee-447f-b499-8985831a41da,496414bd-fcd5-48fe-991c-39544c811cf6,2021/09/01,有限会社御宿　海舟,有限会社御宿海舟,有限会社御宿　海舟
,門司弘子,,,,,,,,,,みやび,8410083,佐賀県,鳥栖市,古賀町,603,,090-2964-5662,① 飲食店営業,,2022/1/31,2022/1/31,2028/8/31,　,,409,みやび,0942,090-2964-5662,,,,佐賀県　鳥栖市　古賀町　603,佐賀県鳥栖市古賀町６０３,,205209,41,41203,古賀町,,,2022/01/31,2022/01/31,2028/08/31,,門司弘子 ,,　　　,,,,,,,,,飲食店営業,,　,,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,みやび090-2964-566220520941203,939dff5e-9888-42c8-a25f-b91d220e38a2,,personal,e1b72796-8fa2-4a83-97de-62d5895129e5,2022/01/31,みやび,みやび,
,岡本和夫,,,,,,,,,,旬風,8470045,佐賀県,唐津市,京町,１７６１ー１,,0955-74-6364,⑯ 水産製品製造業,,2022/1/31,2022/1/31,2028/8/31,　　　　,,410,旬風,0955,0955-74-6364,,,,佐賀県　唐津市　京町　１７６１ー１,佐賀県唐津市京町１７６１－１,,204953,41,41202,京町,,,2022/01/31,2022/01/31,2028/08/31,,岡本和夫 ,,　　　,,,,,,,,,水産製品製造業,,　　　　,,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,E,9,92,,旬風0955-74-636420495341202,31522d41-8606-4517-bdb2-5890a64a8bef,,personal,fb905cac-ba50-4a43-b9c8-600ebbee9509,2022/01/31,旬風,旬風,
4101061579306,金方堂松本工業株式会社,松本旭央,1100015,東京都,台東区,東上野１丁目２８番１２号,,,03-3831-1199,,金方堂松本工業株式会社　佐賀多久工場,8460012,佐賀県,多久市,東多久町別府,１４６１番地１,,0952-20-1621,㉛ 食品の小分け業,,2021/9/1,2021/9/1,2027/8/31,　,,408,金方堂松本工業株式会社　佐賀多久工場,0952,0952-20-1621,,,,佐賀県　多久市　東多久町別府　１４６１番地１,佐賀県多久市東多久町別府１４６１番地１,,205287,41,41204,東多久町別府,,,2021/09/01,2021/09/01,2027/08/31,金方堂松本工業株式会社,松本旭央,03-3831-1199,東京都　台東区　東上野１丁目２８番１２号　,東京都台東区東上野１丁目２８番１２号,,73463,東京都,台東区,東上野１,,,食品の小分け業,,　,4101061579306,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,I,58,522,5229,金方堂松本工業株式会社佐賀多久工場0952-20-162120528741204,1b05c13e-cde6-4ec7-9a02-4996675ca50e,金方堂松本工業株式会社73463,a5470099-b80f-45a7-81e5-3676c351993a,28a01219-6e73-432d-b4b9-a4862b2ed7b4,2021/09/01,金方堂松本工業株式会社佐賀多久工場,金方堂松本工業株式会社佐賀多久工場,金方堂松本工業株式会社
