https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,確認番号,申請者1,申請者2,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設名,施設-電話番号1,業種,業態,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台帳番号,許可番号,申請者法人名称,申請者氏名,,営業施設所在地,,,営業施設名称,営業施設電話番号,営業の種類,業態,許可年月日,許可満了日,初回許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
20-000647,西生指令第0662,株式会社富士達,,神奈川県,横浜市西区岡野1-11-12,横浜市西区岡野１－１１－１２,,七輪焼肉　安安　横浜西口店 ,313-9593,飲食店営業,焼肉店,2022年1月12日,2028年1月11日,2022年1月12日,,141,七輪焼肉　安安　横浜西口店 ,045,045-313-9593,,,,神奈川県　横浜市西区岡野１－１１－１２,神奈川県横浜市西区岡野１－１１－１２,,78454,14,14103,岡野１,,2022/01/12,2022/01/12,,2028/01/11,株式会社富士達,,,,,,,,,,西生指令第0662,,飲食店営業, 焼肉店,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_15,M,76,,,七輪焼肉安安横浜西口店045-313-95937845414103,00141_c624e342-bf00-42c0-8830-dbb007b55da9,株式会社富士達,78cadf2b-f0a0-4d2a-b666-136abf67a7fd,23b7f735-c509-442f-9ada-12e1e1cb6c13,2022/01/12,七輪焼肉　安安　横浜西口店　,七輪焼肉安安横浜西口店,株式会社富士達
20-001194,西生指令第0691,有限会社　はな家,,神奈川県,横浜市西区南幸1-2-3,横浜市西区南幸１－２－３,,有限会社  はな家 ,311-2512,飲食店営業,,2022年1月26日,2028年1月25日,2022年1月26日,,141,有限会社  はな家 ,045,045-311-2512,,,,神奈川県　横浜市西区南幸１－２－３,神奈川県横浜市西区南幸１－２－３,,78503,14,14103,南幸１,,2022/01/26,2022/01/26,,2028/01/25,有限会社　はな家,,,,,,,,,,西生指令第0691,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_15,M,76,,,有限会社はな家045-311-25127850314103,0d357b5a-ffe9-47ed-8da3-db416c33fff2,有限会社はな家,328ca521-8a40-40b4-a6dc-35ad385156f8,546c684e-95c4-43f4-adcb-ecb479063cf2,2022/01/26,有限会社はな家　,有限会社はな家,有限会社はな家
20-002154,西生指令第0673,有限会社酒利屋商店,,神奈川県,横浜市西区浅間台35,横浜市西区浅間台３５,,セブン－イレブン横浜浅間台店 ,311-5301,飲食店営業,,2022年1月24日,2028年1月23日,2022年1月24日,,141,セブン－イレブン横浜浅間台店 ,045,045-311-5301,,,,神奈川県　横浜市西区浅間台３５,神奈川県横浜市西区浅間台３５,,78468,14,14103,浅間台,,2022/01/24,2022/01/24,,2028/01/23,有限会社酒利屋商店,,,,,,,,,,西生指令第0673,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_15,M,76,,,セブンイレブン横浜浅間台店045-311-53017846814103,00141_b4fef291-14c9-400b-bf30-f6929eaf8f4c,有限会社酒利屋商店,9b9cc88c-cd00-4588-bc54-794b55c1bc0f,9430abc9-b2fd-4c92-ae85-2d817d233aa8,2022/01/24,セブンイレブン横浜浅間台店　,セブンイレブン横浜浅間台店,有限会社酒利屋商店
20-002596,西生指令第0693,,佐伯 耕賛,神奈川県,横浜市西区中央2-36-4,横浜市西区中央２－３６－４,,焼肉 201 ,323-2018,飲食店営業,,2022年1月26日,2029年1月25日,2022年1月26日,,141,焼肉 201 ,045,045-323-2018,,,,神奈川県　横浜市西区中央２－３６－４,神奈川県横浜市西区中央２－３６－４,,78477,14,14103,中央２,,2022/01/26,2022/01/26,,2029/01/25,,佐伯 耕賛,,,,,,,,,西生指令第0693,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_15,M,76,,,焼肉２０１045-323-20187847714103,c0ddd2e1-ccfe-4269-841d-1fb38d56b202,,personal,3317f506-0649-4a68-9391-69f88c0c4a2d,2022/01/26,焼肉　２０１　,焼肉２０１,
20-033017,西生指令第0695,株式会社第一興商,,神奈川県,横浜市西区南幸2-15-8,横浜市西区南幸２－１５－８,,ビッグエコー横浜相鉄口駅前2号店 ,317-3737,飲食店営業,,2022年1月26日,2029年1月25日,2022年1月26日,,141,ビッグエコー横浜相鉄口駅前2号店 ,045,045-317-3737,,,,神奈川県　横浜市西区南幸２－１５－８,神奈川県横浜市西区南幸２－１５－８,,78504,14,14103,南幸２,,2022/01/26,2022/01/26,,2029/01/25,株式会社第一興商,,,,,,,,,,西生指令第0695,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_15,M,76,,,ビッグエコ横浜相鉄口駅前２号店045-317-37377850414103,5b0b3dbd-07b5-430b-b1b5-4c562616b399,株式会社第一興商,cc94ac44-2f51-4ae5-88bb-9a05e238836d,cfd73b73-8902-4a8d-a78d-e9e67796cd3f,2022/01/26,ビッグエコー横浜相鉄口駅前２号店　,ビッグエコ横浜相鉄口駅前２号店,株式会社第一興商
20-036310,西生指令第0666,ユーシーシーフードサービスシステムズ株式会社,,神奈川県,横浜市西区北幸1-9-2 NTT-com横浜西ビル 1F,横浜市西区北幸１－９－２,NTT－com横浜西ビル １F,上島珈琲店　横浜北幸店 ,290-4577,飲食店営業,,2022年1月19日,2029年1月18日,2022年1月19日,,141,上島珈琲店　横浜北幸店 ,045,045-290-4577,,,,神奈川県　横浜市西区北幸１－９－２,神奈川県横浜市西区北幸１－９－２,NTT－com横浜西ビル １F,78458,14,14103,北幸１,,2022/01/19,2022/01/19,,2029/01/18,ユーシーシーフードサービスシステムズ株式会社,,,,,,,,,,西生指令第0666,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_15,M,76,,,上島珈琲店横浜北幸店045-290-45777845814103,ee3510b7-ac8f-48f5-acbd-f7876e767c1a,ユーシーシーフードサービスシステムズ株式会社,fa920647-730a-42ac-ab05-db565fa7eb2a,de14ffca-d929-4c3b-b308-463bc6f16440,2022/01/19,上島珈琲店　横浜北幸店　,上島珈琲店横浜北幸店,ユーシーシーフードサービスシステムズ株式会社
20-040438,西生指令第0680,,福島 ゆり,神奈川県,横浜市西区南幸1-2-6,横浜市西区南幸１－２－６,,呑喰処　一福 ,411-0129,飲食店営業,大衆酒場,2022年1月24日,2028年1月23日,2022年1月24日,,141,呑喰処　一福 ,045,045-411-0129,,,,神奈川県　横浜市西区南幸１－２－６,神奈川県横浜市西区南幸１－２－６,,78503,14,14103,南幸１,,2022/01/24,2022/01/24,,2028/01/23,,福島 ゆり,,,,,,,,,西生指令第0680,,飲食店営業, 大衆酒場,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_15,M,76,,,呑喰処一福045-411-01297850314103,ed085972-5c28-4c46-bb9a-2cc26986c08f,,personal,49003a51-547e-439c-afda-11ddc46778c1,2022/01/24,呑喰処　一福　,呑喰処一福,
20-052362,西生指令第0698,株式会社だん家,,神奈川県,横浜市西区みなとみらい3-6-1 みなとみらいセンタービル 3F,横浜市西区みなとみらい３－６－１,みなとみらいセンタービル ３F,鍛冶屋文蔵みなとみらいセンタービル店 ,264-9361,飲食店営業,居酒屋,2022年1月28日,2029年1月27日,2022年1月28日,,141,鍛冶屋文蔵みなとみらいセンタービル店 ,045,045-264-9361,,,,神奈川県　横浜市西区みなとみらい３－６－１,神奈川県横浜市西区みなとみらい３－６－１,みなとみらいセンタービル ３F,78512,14,14103,みなとみらい３,,2022/01/28,2022/01/28,,2029/01/27,株式会社だん家,,,,,,,,,,西生指令第0698,,飲食店営業, 居酒屋,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_15,M,76,,,鍛冶屋文蔵みなとみらいセンタビル店045-264-93617851214103,e688cff4-b496-4940-a3c3-8242f9092765,株式会社だん家,0620bce7-4ae6-42e2-88ca-efbf72f75f24,e569f950-8519-44b8-acc6-cfc911da7e26,2022/01/28,鍛冶屋文蔵みなとみらいセンタービル店　,鍛冶屋文蔵みなとみらいセンタビル店,株式会社だん家
20-052444,西生指令第0684,株式会社神奈中システムプラン,,神奈川県,横浜市西区みなとみらい4-8,横浜市西区みなとみらい４－８,,ドトールコーヒーショップみなとみらいグランモール公園店 ,683-3200,飲食店営業,,2022年1月25日,2029年1月24日,2022年1月25日,,141,ドトールコーヒーショップみなとみらいグランモール公園店 ,045,045-683-3200,,,,神奈川県　横浜市西区みなとみらい４－８,神奈川県横浜市西区みなとみらい４－８,,78513,14,14103,みなとみらい４,,2022/01/25,2022/01/25,,2029/01/24,株式会社神奈中システムプラン,,,,,,,,,,西生指令第0684,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_15,M,76,,,ドトルコヒショップみなとみらいグランモル公園店045-683-32007851314103,69de70f2-cbd3-4a8b-80b5-114d9af03e51,株式会社神奈中システムプラン,bb21eeed-799c-4e0f-beb7-cba9776f2e6e,bbba7ef9-ad4e-40a6-af4c-d3ab73e3291e,2022/01/25,ドトールコーヒーショップみなとみらいグランモール公園店　,ドトルコヒショップみなとみらいグランモル公園店,株式会社神奈中システムプラン
