https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,確認番号,申請者1,申請者2,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設名,施設-電話番号1,業種,業態,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台帳番号,許可番号,申請者法人名称,申請者氏名,,営業施設所在地,,,営業施設名称,営業施設電話番号,営業の種類,業態,許可年月日,許可満了日,初回許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
51-001743,旭生指令第215,有限会社　森山食品,,神奈川県,横浜市旭区二俣川1-46-15,横浜市旭区二俣川１－４６－１５,,セブンイレブン　二俣川店 ,391-6045,飲食店営業,,2022年1月25日,2029年1月24日,2022年1月25日,,141,セブンイレブン　二俣川店 ,045,045-391-6045,,,,神奈川県　横浜市旭区二俣川１－４６－１５,神奈川県横浜市旭区二俣川１－４６－１５,,79446,14,14112,二俣川１,,2022/01/25,2022/01/25,,2029/01/24,有限会社　森山食品,,,,,,,,,,旭生指令第215,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_１１,M,76,,,セブンイレブン二俣川店045-391-60457944614112,00141_6aacb74c-9110-4ba1-b317-a26613dff248,有限会社森山食品,aa9fa729-7ca5-4582-af1c-ee1431012457,0ce2e4ac-ec9e-43e6-ba6e-cec1da6b9647,2022/01/25,セブンイレブン　二俣川店　,セブンイレブン二俣川店,有限会社森山食品
51-031549,旭生指令第209,,遠藤 茂,神奈川県,横浜市旭区白根3-1-11,横浜市旭区白根３－１－１１,,トレトゥール　エズ ,342-6391,飲食店営業,,2022年1月19日,2029年1月18日,2022年1月19日,,141,トレトゥール　エズ ,045,045-342-6391,,,,神奈川県　横浜市旭区白根３－１－１１,神奈川県横浜市旭区白根３－１－１１,,79460,14,14112,白根３,,2022/01/19,2022/01/19,,2029/01/18,,遠藤 茂,,,,,,,,,旭生指令第209,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_１１,M,76,,,トレトゥルエズ045-342-63917946014112,23631ae0-7b34-4650-b6ca-1a5adbcbea69,,personal,ebc44502-d473-409e-a91c-91d54cbb7b4a,2022/01/19,トレトゥール　エズ　,トレトゥルエズ,
51-033554,旭生指令第207,,竹重 康太,神奈川県,横浜市旭区上白根2-4-12,横浜市旭区上白根２－４－１２,,ファミリーマート　横浜上白根店 ,958-2307,飲食店営業,,2022年1月19日,2029年1月18日,2022年1月19日,,141,ファミリーマート　横浜上白根店 ,045,045-958-2307,,,,神奈川県　横浜市旭区上白根２－４－１２,神奈川県横浜市旭区上白根２－４－１２,,79467,14,14112,上白根２,,2022/01/19,2022/01/19,,2029/01/18,,竹重 康太,,,,,,,,,旭生指令第207,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_１１,M,76,,,ファミリマト横浜上白根店045-958-23077946714112,00141_d14f7c05-e0e2-4b93-9025-d4a8d9b91745,,personal,22b39d37-4e28-4a37-a27a-80c0472ac687,2022/01/19,ファミリーマート　横浜上白根店　,ファミリマト横浜上白根店,
51-033565,旭生指令第205,,森 大二郎,神奈川県,横浜市旭区鶴ケ峰本町2-3-1 サンハイツ104号室,横浜市旭区鶴ケ峰本町２－３－１,サンハイツ１０４号室,配食のふれ愛　横浜旭店 ,520-3016,飲食店営業,,2022年1月14日,2029年1月13日,2022年1月14日,,141,配食のふれ愛　横浜旭店 ,045,045-520-3016,,,,神奈川県　横浜市旭区鶴ケ峰本町２－３－１,神奈川県横浜市旭区鶴が峰本町２－３－１,サンハイツ１０４号室,79441,14,14112,鶴が峰本町２,,2022/01/14,2022/01/14,,2029/01/13,,森 大二郎,,,,,,,,,旭生指令第205,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_１１,M,76,,,配食のふれ愛横浜旭店045-520-30167944114112,1732f73b-05eb-459c-b6fb-0b421357bd37,,personal,899a3a14-9e13-4872-b5b6-86767128be74,2022/01/14,配食のふれ愛　横浜旭店　,配食のふれ愛横浜旭店,
51-033569,旭生指令第213,,山下 真弓,神奈川県,横浜市旭区今宿東町1629-1,横浜市旭区今宿東町１６２９－１,,秋桜 ,952-5841,飲食店営業,,2022年1月27日,2028年1月26日,2022年1月27日,,141,秋桜 ,045,045-952-5841,,,,神奈川県　横浜市旭区今宿東町１６２９－１,神奈川県横浜市旭区今宿東町１６２９－１,,79412,14,14112,今宿東町,,2022/01/27,2022/01/27,,2028/01/26,,山下 真弓,,,,,,,,,旭生指令第213,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_１１,M,76,,,秋桜045-952-58417941214112,087fa616-5cb3-42ab-96da-9db1429b91d3,,personal,9b427093-805d-4d6a-a38c-55c9553b0be7,2022/01/27,秋桜　,秋桜,
51-033577,旭生指令第203,,佐々木 学文,神奈川県,横浜市旭区左近山1186-6　左近山団地7-10-103,横浜市旭区左近山１１８６－６,左近山団地７－１０－１０３,Ｐｉｌｌｙ’ｓ　Ｂｒｅａｄ　Ｃｏｍｐａｎｙ ,520-3245,菓子製造業,,2022年1月17日,2029年1月16日,2022年1月17日,,141,Ｐｉｌｌｙ’ｓ　Ｂｒｅａｄ　Ｃｏｍｐａｎｙ ,045,045-520-3245,,,,神奈川県　横浜市旭区左近山１１８６－６,神奈川県横浜市旭区左近山１１８６－６,左近山団地７－１０－１０３,79426,14,14112,左近山,,2022/01/17,2022/01/17,,2029/01/16,,佐々木 学文,,,,,,,,,旭生指令第203,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_１１,E,9,,,ＰｉｌｌｙｓＢｒｅａｄＣｏｍｐａｎｙ045-520-32457942614112,56db55e5-e882-4c2a-b5d1-e25f4e5ba987,,personal,f5383513-c7bb-4bf4-bdc3-e0153958ff95,2022/01/17,Ｐｉｌｌｙ＇ｓ　Ｂｒｅａｄ　Ｃｏｍｐａｎｙ　,ＰｉｌｌｙｓＢｒｅａｄＣｏｍｐａｎｙ,
51-036018,旭生指令第176,株式会社サンマルクグリル,,神奈川県,横浜市旭区二俣川2-91-7 ジョイナステラス二俣川4F　C-401-2区画,横浜市旭区二俣川２－９１－７,ジョイナステラス二俣川４F C－４０１－２区画,グリル蔵敷　ジョイナステラス二俣川店 ,444-9108,飲食店営業,,2022年1月14日,2029年1月13日,2022年1月14日,,141,グリル蔵敷　ジョイナステラス二俣川店 ,045,045-444-9108,,,,神奈川県　横浜市旭区二俣川２－９１－７,神奈川県横浜市旭区二俣川２－９１－７,ジョイナステラス二俣川４F C－４０１－２区画,79447,14,14112,二俣川２,,2022/01/14,2022/01/14,,2029/01/13,株式会社サンマルクグリル,,,,,,,,,,旭生指令第176,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_１１,M,76,,,グリル蔵敷ジョイナステラス二俣川店045-444-91087944714112,09fcdcd3-f832-471a-833a-872651f784ca,株式会社サンマルクグリル,4c92e719-8b11-4c32-b2c1-3442edfa0599,b5033ab6-df50-4d7f-8090-8d12a82f2f37,2022/01/14,グリル蔵敷　ジョイナステラス二俣川店　,グリル蔵敷ジョイナステラス二俣川店,株式会社サンマルクグリル
51-036082,旭生指令第200,特定非営利活動法人でっかいそら,,神奈川県,横浜市旭区今川町5-6,横浜市旭区今川町５－６,,特定非営利活動法人でっかいそら　天 ,442-4240,飲食店営業,,2022年1月11日,2029年1月10日,2022年1月11日,,141,特定非営利活動法人でっかいそら　天 ,045,045-442-4240,,,,神奈川県　横浜市旭区今川町５－６,神奈川県横浜市旭区今川町５－６,,79409,14,14112,今川町,,2022/01/11,2022/01/11,,2029/01/10,特定非営利活動法人でっかいそら,,,,,,,,,,旭生指令第200,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_１１,M,76,,,特定非営利活動法人でっかいそら天045-442-42407940914112,8846dadb-139f-4109-889c-8db1de950fc0,特定非営利活動法人でっかいそら,a00adc73-127d-49c3-a464-c9141381fd45,e3f05fc9-e298-43b2-9a6f-c3a3a9ab88be,2022/01/11,特定非営利活動法人でっかいそら　天　,特定非営利活動法人でっかいそら天,特定非営利活動法人でっかいそら
51-036083,旭生指令第201,,古関 麻美,神奈川県,横浜市旭区二俣川1-48,横浜市旭区二俣川１－４８,,銀座かずや　第２製造所 ,465-4049,菓子製造業,,2022年1月25日,2029年1月24日,2022年1月25日,,141,銀座かずや　第２製造所 ,045,045-465-4049,,,,神奈川県　横浜市旭区二俣川１－４８,神奈川県横浜市旭区二俣川１－４８,,79446,14,14112,二俣川１,,2022/01/25,2022/01/25,,2029/01/24,,古関 麻美,,,,,,,,,旭生指令第201,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)_１１,E,9,,,銀座かずや第２製造所045-465-40497944614112,288cb4ee-cadb-40bc-9e70-a0336fa7eece,,personal,919facb9-2a69-4d5e-9ddf-cb3139242161,2022/01/25,銀座かずや　第２製造所　,銀座かずや第２製造所,
