https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,n処理終了,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,,,,,,,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,,,申請-住所1,申請-マンション名,申請-電話番号1,申請年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,施設＿名称（屋号・商号）,所在地,,,,,,,,,施設＿電話番号（所在地）,種目（営業の種類）,申請者＿申請者名,,,申請者＿住所,,申請者＿電話番号,届出年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
3293,,山辺郡山添村春日    ６９６,,山辺郡山添村春日,,６９６,山辺郡山添村春日６９６,,山辺郡山添村春日６９６,,0743-85-0573,その他の食料品製造・加工業,,,,,,,R03.09.15,,321,,0743,0743-85-0573,,,,山辺郡山添村春日６９６,奈良県山辺郡山添村春日６９６,,173874,29,29322,春日,2021/09/15,,,,,,,,,,,,,,,,,その他の食料品製造・加工業,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,0743-85-057317387429322,cf43d6eb-1640-452a-8a66-7e6deeca10b4,,personal,59d55bc1-069a-43ce-8161-2af41edd164b,2021/09/15,,,
3294,コーナン天理店,天理市嘉幡町    ６５５－３,,天理市嘉幡町,,６５５－３,天理市嘉幡町６５５－３,,天理市嘉幡町６５５－３,,0743-64-5760,百貨店、総合スーパー,コーナン商事株式会社,,,堺市西区鳳東町    ４－４０１－１,,06-6397-1621,R03.09.15,,321,コーナン天理店,0743,0743-64-5760,,,,天理市嘉幡町６５５－３,奈良県天理市嘉幡町６５５－３,,172949,29,29204,嘉幡町,2021/09/15,,,,,コーナン商事株式会社,,06-6397-1621,堺市西区鳳東町    ４－４０１－１,大阪府堺市西区鳳東町４－４０１－１,,156764,大阪府,堺市西区,鳳東町４,,,百貨店、総合スーパー,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,56,561,5611,コナン天理店0743-64-576017294929204,c5098143-f900-406f-ade4-ff6e8f69a29b,コーナン商事株式会社156764,b6dd1e53-25b9-4fc9-abfa-21e7c96e4b33,bffcda85-dad4-4298-81a6-8657043b5a75,2021/09/15,コーナン天理店,コナン天理店,コーナン商事株式会社
3295,ｃｏｏｋｈｏｕｓｅ生駒駅前店,生駒市元町    １－１－１,,生駒市元町,,１－１－１,生駒市元町１－１－１,,生駒市元町１－１－１,,0743-73-6544,乳類販売業,株式会社ダイヤ,,,大阪市生野区新今里    ２－１３－８,,06-6751-6635,R03.09.17,,321,ｃｏｏｋｈｏｕｓｅ生駒駅前店,0743,0743-73-6544,,,,生駒市元町１－１－１,奈良県生駒市元町１－１－１,,173533,29,29209,元町１,2021/09/17,,,,,株式会社ダイヤ,,06-6751-6635,大阪市生野区新今里    ２－１３－８,大阪府大阪市生野区新今里２－１３－８,,154890,大阪府,大阪市生野区,新今里２,,,乳類販売業,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,58,,,ｃｏｏｋｈｏｕｓｅ生駒駅前店0743-73-654417353329209,0870420a-667c-4920-a85c-b4a09555ca20,株式会社ダイヤ154890,9aee3597-634a-42eb-9eee-a52f376245b3,17c50e63-9fb8-4917-a450-5a4ab2b44629,2021/09/17,ｃｏｏｋｈｏｕｓｅ生駒駅前店,ｃｏｏｋｈｏｕｓｅ生駒駅前店,株式会社ダイヤ
3298,コーナン安堵店,生駒郡安堵町岡崎    ３１６－１,,生駒郡安堵町岡崎,,３１６－１,生駒郡安堵町岡崎３１６－１,,生駒郡安堵町岡崎３１６－１,,073-59-5320,百貨店、総合スーパー,コーナン商事株式会社,,,堺市西区鳳東町    ４－４０１－１,,06-6397-1621,R03.09.17,,321,コーナン安堵店,0743,073-59-5320,,,,生駒郡安堵町岡崎３１６－１,奈良県生駒郡安堵町岡崎３１６－１,,173900,29,29345,岡崎,2021/09/17,,,,,コーナン商事株式会社,,06-6397-1621,堺市西区鳳東町    ４－４０１－１,大阪府堺市西区鳳東町４－４０１－１,,156764,大阪府,堺市西区,鳳東町４,,,百貨店、総合スーパー,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,56,561,5611,コナン安堵店073-59-532017390029345,f0c80307-46c9-4b1c-9ea0-9646d765cd93,コーナン商事株式会社156764,b6dd1e53-25b9-4fc9-abfa-21e7c96e4b33,de3fc469-2b6c-48f1-8214-32865fe3d05a,2021/09/17,コーナン安堵店,コナン安堵店,コーナン商事株式会社
3299,株式会社HALLE    JAPON,大和郡山市含む県内一円（但し、奈良市を除く）,,大和郡山市含む県内一円,,,大和郡山市含む県内一円,,大和郡山市含む県内一円,（但し、奈良市を除く）,,行商,株式会社HALLE    JAPON,,,港区港南    ２－１６－２    ,太陽生命品川ビル２８F,03-6380-7903,R03.09.17,,321,株式会社HALLE    JAPON,0743,,,,,大和郡山市含む県内一円,奈良県大和郡山市含む県内一円,（但し、奈良市を除く）,172818,29,29203,,2021/09/17,,,,,株式会社HALLE    JAPON,,03-6380-7903,港区港南    ２－１６－２    ,東京都港区港南２－１６－２,太陽生命品川ビル２８F,73073,東京都,港区,港南２,,,行商,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,61,619,,株式会社ＨＡＬＬＥＪＡＰＯＮ17281829203,a602e8e1-9263-4664-98be-7cc5c7ac9dc5,株式会社ＨＡＬＬＥ　ＪＡＰＯＮ73073,60ed6504-849c-4f0d-a5fb-4513f464550c,0c37d4a0-c871-4091-8196-ef6b05c5c71e,2021/09/17,株式会社ＨＡＬＬＥ　ＪＡＰＯＮ,株式会社ＨＡＬＬＥＪＡＰＯＮ,株式会社ＨＡＬＬＥ　ＪＡＰＯＮ
3301,産直市場よってって    大和郡山店,大和郡山市小泉町    ２８５４,,大和郡山市小泉町,,２８５４,大和郡山市小泉町２８５４,,大和郡山市小泉町２８５４,,0743-52-1147,百貨店、総合スーパー,株式会社プラス,,,田辺市宝来町    １７－１２,,0739-25-4570,R03.09.22,,321,産直市場よってって    大和郡山店,0743,0743-52-1147,,,,大和郡山市小泉町２８５４,奈良県大和郡山市小泉町２８５４,,172846,29,29203,小泉町,2021/09/22,,,,,株式会社プラス,,0739-25-4570,田辺市宝来町    １７－１２,和歌山県田辺市宝来町１７－１２,,175631,和歌山県,田辺市,宝来町,,,百貨店、総合スーパー,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,56,561,5611,産直市場よってって大和郡山店0743-52-114717284629203,81d20d17-9a2e-451e-86d0-ef8477073687,株式会社プラス175631,5c43f4a1-7daa-4643-8058-e369ec32f400,d2a0f491-dc8a-40aa-92d1-aa8262d2db04,2021/09/22,産直市場よってって　大和郡山店,産直市場よってって大和郡山店,株式会社プラス
3302,コーナン大和郡山店,大和郡山市小泉町桐ノ内    ２２６２－２,,大和郡山市小泉町桐ノ内 ２２６２－２,,,大和郡山市小泉町桐ノ内 ２２６２－２,,大和郡山市小泉町桐ノ内 ２２６２－２,,0743-52-8502,百貨店、総合スーパー,コーナン商事株式会社,,,堺市西区鳳東町    ４－４０１－１,,06-6397-1621,R03.09.22,,321,コーナン大和郡山店,0743,0743-52-8502,,,,大和郡山市小泉町桐ノ内 ２２６２－２,奈良県大和郡山市小泉町桐ノ内２２６２－２,,172846,29,29203,小泉町,2021/09/22,,,,,コーナン商事株式会社,,06-6397-1621,堺市西区鳳東町    ４－４０１－１,大阪府堺市西区鳳東町４－４０１－１,,156764,大阪府,堺市西区,鳳東町４,,,百貨店、総合スーパー,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,56,561,5611,コナン大和郡山店0743-52-850217284629203,8919ffa0-b2de-4bfa-839e-c5b3b06f5210,コーナン商事株式会社156764,b6dd1e53-25b9-4fc9-abfa-21e7c96e4b33,78e6f6e0-7751-466b-91d0-9367dc177b4e,2021/09/22,コーナン大和郡山店,コナン大和郡山店,コーナン商事株式会社
3304,セブン－イレブンキヨスク    ＪＲ法隆寺駅改札口店,生駒郡斑鳩町興留    ９－１－１,,生駒郡斑鳩町興留,,９－１－１,生駒郡斑鳩町興留９－１－１,,生駒郡斑鳩町興留９－１－１,,0745-75-8101,コンビニエンスストア,株式会社ジェイアール西日本デイリーサービスネット,,,尼崎市潮江    １－２－１２,,06-4960-9820,R03.09.22,,321,セブン－イレブンキヨスク    ＪＲ法隆寺駅改札口店,0745,0745-75-8101,,,,生駒郡斑鳩町興留９－１－１,奈良県生駒郡斑鳩町興留９－１－１,,173925,29,29344,興留９,2021/09/22,,,,,株式会社ジェイアール西日本デイリーサービスネット,,06-4960-9820,尼崎市潮江    １－２－１２,兵庫県尼崎市潮江１－２－１２,,166802,兵庫県,尼崎市,潮江１,,,コンビニエンスストア,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,58,589,5891,セブンイレブンキヨスクＪＲ法隆寺駅改札口店0745-75-810117392529344,24722d50-f338-40c8-bc25-500619978c05,株式会社ジェイアール西日本デイリーサービスネット166802,fff8c30a-7e33-4401-a461-9bdc73afabbe,dfae2898-54ff-4a08-8696-f0e80397d9db,2021/09/22,セブンイレブンキヨスク　ＪＲ法隆寺駅改札口店,セブンイレブンキヨスクＪＲ法隆寺駅改札口店,株式会社ジェイアール西日本デイリーサービスネット
3307,株式会社ノゾエ産業,天理市指柳町    １８５－９,,天理市指柳町,,１８５－９,天理市指柳町１８５－９,,天理市指柳町１８５－９,,0743-62-4462,その他の食料品製造・加工業,株式会社ノゾエ産業,,,天理市指柳町    １８５－９,,0743-62-4462,R03.09.24,,321,株式会社ノゾエ産業,0743,0743-62-4462,,,,天理市指柳町１８５－９,奈良県天理市指柳町１８５－９,,172961,29,29204,指柳町,2021/09/24,,,,,株式会社ノゾエ産業,,0743-62-4462,天理市指柳町    １８５－９,奈良県天理市指柳町１８５－９,,172961,奈良県,天理市,指柳町,,,その他の食料品製造・加工業,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,株式会社ノゾエ産業0743-62-446217296129204,f8d7063a-4dda-4348-ab68-0240d41e434e,株式会社ノゾエ産業172961,91cb4754-c171-4e2b-b40d-75f8b9eadc41,f9baa465-f263-450f-a506-d19d49ae8400,2021/09/24,株式会社ノゾエ産業,株式会社ノゾエ産業,株式会社ノゾエ産業
3310,ダイソーイオンモール奈良登美ヶ丘店,生駒市鹿畑町    ２５０１－１イオンモール奈良登美ヶ丘店    ３階,,生駒市鹿畑町 ２５０１－１,,,生駒市鹿畑町 ２５０１－１,,生駒市鹿畑町 ２５０１－１,イオンモール奈良登美ヶ丘店    ３階,,その他の食料・飲料販売業,株式会社大創産業,,,東広島市西条吉行東    １－４－１４,,082-420-0100,R03.09.27,,321,ダイソーイオンモール奈良登美ヶ丘店,0743,,,,,生駒市鹿畑町 ２５０１－１,奈良県生駒市鹿畑町２５０１－１,イオンモール奈良登美ヶ丘店    ３階,173501,29,29209,鹿畑町,2021/09/27,,,,,株式会社大創産業,,082-420-0100,東広島市西条吉行東    １－４－１４,広島県東広島市西条吉行東１－４－１４,,186030,広島県,東広島市,西条吉行東１,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,ダイソイオンモル奈良登美ヶ丘店17350129209,d3431581-a538-4d6d-9784-949c5e904457,株式会社大創産業186030,4b7478b9-e92a-48e2-998f-aaaee569b5a2,cc8190e8-714c-4754-87e4-6ae1bf42acce,2021/09/27,ダイソーイオンモール奈良登美ヶ丘店,ダイソイオンモル奈良登美ヶ丘店,株式会社大創産業
3311,ダイソー    大和小泉店,大和郡山市小泉町    ２０３０,,大和郡山市小泉町,,２０３０,大和郡山市小泉町２０３０,,大和郡山市小泉町２０３０,,,その他の食料・飲料販売業,株式会社大創産業,,,東広島市西条吉行東    １－４－１４,,082-420-0100,R03.09.27,,321,ダイソー    大和小泉店,0743,,,,,大和郡山市小泉町２０３０,奈良県大和郡山市小泉町２０３０,,172846,29,29203,小泉町,2021/09/27,,,,,株式会社大創産業,,082-420-0100,東広島市西条吉行東    １－４－１４,広島県東広島市西条吉行東１－４－１４,,186030,広島県,東広島市,西条吉行東１,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,ダイソ大和小泉店17284629203,91665899-0477-4e06-a8dc-679dd483c1bb,株式会社大創産業186030,4b7478b9-e92a-48e2-998f-aaaee569b5a2,dbfc1154-7aeb-469c-8b70-13cf531e9e8d,2021/09/27,ダイソー　大和小泉店,ダイソ大和小泉店,株式会社大創産業
3313,Ｙショップやまと精神医療センター店,大和郡山市小泉町    ２８１５やまと精神医療センター内,,大和郡山市小泉町,,２８１５やまと精神医療センター内,大和郡山市小泉町２８１５,,大和郡山市小泉町２８１５,やまと精神医療センター内,0743-54-5006,コンビニエンスストア,ワタキューセイモア株式会社,,,綴喜郡井手町多賀茶臼塚    １２－２,,0774-82-5101,R03.09.27,,321,Ｙショップやまと精神医療センター店,0743,0743-54-5006,,,,大和郡山市小泉町２８１５,奈良県大和郡山市小泉町２８１５,やまと精神医療センター内,172846,29,29203,小泉町,2021/09/27,,,,,ワタキューセイモア株式会社,,0774-82-5101,綴喜郡井手町多賀茶臼塚    １２－２,京都府綴喜郡井手町多賀茶臼塚１２－２,,152151,京都府,綴喜郡井手町,多賀,,,コンビニエンスストア,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,58,589,5891,Ｙショップやまと精神医療センタ店0743-54-500617284629203,dee8a674-98ef-4f42-9033-63490a39b656,ワタキューセイモア株式会社152151,a07be8e2-23c4-4b5e-850a-5fbd29f103b7,71edcd5c-ac92-48d9-8a92-27d508e2fcf1,2021/09/27,Ｙショップやまと精神医療センター店,Ｙショップやまと精神医療センタ店,ワタキューセイモア株式会社
3314,セブンーイレブンハートイン    ＪＲ法隆寺駅南口店,生駒郡斑鳩町興留    ９－１－１,,生駒郡斑鳩町興留,,９－１－１,生駒郡斑鳩町興留９－１－１,,生駒郡斑鳩町興留９－１－１,,0745-75-8021,コンビニエンスストア,株式会社ジェイアール西日本デイリーサービスネット,,,尼崎市潮江    １－２－１２,,06-4960-9819,R03.09.22,,321,セブンーイレブンハートイン    ＪＲ法隆寺駅南口店,0745,0745-75-8021,,,,生駒郡斑鳩町興留９－１－１,奈良県生駒郡斑鳩町興留９－１－１,,173925,29,29344,興留９,2021/09/22,,,,,株式会社ジェイアール西日本デイリーサービスネット,,06-4960-9819,尼崎市潮江    １－２－１２,兵庫県尼崎市潮江１－２－１２,,166802,兵庫県,尼崎市,潮江１,,,コンビニエンスストア,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,58,589,5891,セブンイレブンハトインＪＲ法隆寺駅南口店0745-75-802117392529344,84785d0f-e41c-4c71-bf6b-3185ca60e53b,株式会社ジェイアール西日本デイリーサービスネット166802,fff8c30a-7e33-4401-a461-9bdc73afabbe,b2d14886-908e-4dc1-b794-b9271e180b20,2021/09/22,セブンイレブンハートイン　ＪＲ法隆寺駅南口店,セブンイレブンハトインＪＲ法隆寺駅南口店,株式会社ジェイアール西日本デイリーサービスネット
3315,セブン－イレブンキヨスク    ＪＲ大和小泉駅改札口店,大和郡山市小泉町    ４９２－３,,大和郡山市小泉町,,４９２－３,大和郡山市小泉町４９２－３,,大和郡山市小泉町４９２－３,,0743-54-8041,コンビニエンスストア,株式会社ジェイアール西日本デイリーサービスネット,,,尼崎市潮江    １－２－１２,,06-4960-9819,R03.09.22,,321,セブン－イレブンキヨスク    ＪＲ大和小泉駅改札口店,0743,0743-54-8041,,,,大和郡山市小泉町４９２－３,奈良県大和郡山市小泉町４９２－３,,172846,29,29203,小泉町,2021/09/22,,,,,株式会社ジェイアール西日本デイリーサービスネット,,06-4960-9819,尼崎市潮江    １－２－１２,兵庫県尼崎市潮江１－２－１２,,166802,兵庫県,尼崎市,潮江１,,,コンビニエンスストア,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,58,589,5891,セブンイレブンキヨスクＪＲ大和小泉駅改札口店0743-54-804117284629203,f6c53a30-4fc5-4af9-9b70-d994c68cf85c,株式会社ジェイアール西日本デイリーサービスネット166802,fff8c30a-7e33-4401-a461-9bdc73afabbe,2a0af565-6b41-4332-9065-7e8bf34785c4,2021/09/22,セブンイレブンキヨスク　ＪＲ大和小泉駅改札口店,セブンイレブンキヨスクＪＲ大和小泉駅改札口店,株式会社ジェイアール西日本デイリーサービスネット
3316,中日本フード（株）    奈良営業部,大和郡山市額田部北町    １０００－３,,大和郡山市額田部北町,,１０００－３,大和郡山市額田部北町１０００－３,,大和郡山市額田部北町１０００－３,,0743-56-4129,魚介類販売業（包装済みの魚介類のみの販売）,中日本フード株式会社,,,大阪市北区梅田    ２－４４－９,,06-7176-3360,R03.09.27,,321,中日本フード（株）    奈良営業部,0743,0743-56-4129,,,,大和郡山市額田部北町１０００－３,奈良県大和郡山市額田部北町１０００－３,,172894,29,29203,額田部北町,2021/09/27,,,,,中日本フード株式会社,,06-7176-3360,大阪市北区梅田    ２－４４－９,大阪府大阪市北区梅田２－４４－９,,155829,大阪府,大阪市北区,梅田２,,,魚介類販売業,包装済みの魚介類のみの販売,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,58,,,中日本フド株式会社奈良営業部0743-56-412917289429203,5d52ca02-c894-4118-bfdc-424cf4bedfd2,中日本フード株式会社155829,806daa91-d691-42ed-9926-0b0e5d220a9b,9d347e6c-9599-45cf-86fe-7d4ea3f0c665,2021/09/27,中日本フード株式会社　奈良営業部,中日本フド株式会社奈良営業部,中日本フード株式会社
3319,ダイソー    ＳＵＣオークワ生駒上町店,生駒市上町    ４４３９－１スーパーセンターオークワ上町店内,,生駒市上町,,４４３９－１スーパーセンターオークワ上町店内,生駒市上町４４３９－１,,生駒市上町４４３９－１,スーパーセンターオークワ上町店内,,その他の食料・飲料販売業,株式会社大創産業,,,東広島市西条吉行東    １－４－１４,,082-420-0100,R03.09.28,,321,ダイソー    ＳＵＣオークワ生駒上町店,0743,,,,,生駒市上町４４３９－１,奈良県生駒市上町４４３９－１,スーパーセンターオークワ上町店内,173482,29,29209,上町,2021/09/28,,,,,株式会社大創産業,,082-420-0100,東広島市西条吉行東    １－４－１４,広島県東広島市西条吉行東１－４－１４,,186030,広島県,東広島市,西条吉行東１,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,ダイソＳＵＣオクワ生駒上町店17348229209,b2133cc4-51a2-4f5e-88fd-a9b4fd38e428,株式会社大創産業186030,4b7478b9-e92a-48e2-998f-aaaee569b5a2,f575de97-a99d-4613-9cfb-a66370a14cd3,2021/09/28,ダイソー　ＳＵＣオークワ生駒上町店,ダイソＳＵＣオクワ生駒上町店,株式会社大創産業
3321,やまや大和郡山店,大和郡山市九条町    １８５－１,,大和郡山市九条町,,１８５－１,大和郡山市九条町１８５－１,,大和郡山市九条町１８５－１,,0743-58-5023,その他の食料・飲料販売業,やまや関西株式会社,,,仙台市宮城野区榴岡    ３－４－１,,022-742-3131,R03.08.27,,321,やまや大和郡山店,0743,0743-58-5023,,,,大和郡山市九条町１８５－１,奈良県大和郡山市九条町１８５－１,,172843,29,29203,九条町,2021/08/27,,,,,やまや関西株式会社,,022-742-3131,仙台市宮城野区榴岡    ３－４－１,宮城県仙台市宮城野区榴岡３－４－１,,37956,宮城県,仙台市宮城野区,榴岡３,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,やまや大和郡山店0743-58-502317284329203,07a1d0da-dc11-4fc1-b2fe-03747df7b645,やまや関西株式会社37956,81e50672-e761-48d2-97d9-1197aee2b2c8,d44cd9fd-6ca6-4103-86b5-10b832ce1f6c,2021/08/27,やまや大和郡山店,やまや大和郡山店,やまや関西株式会社
3324,ＩＫＯＭＡＹＡ,生駒市元町    １－１４－１－３０５－３,,生駒市元町,,１－１４－１－３０５－３,生駒市元町１－１４－１－３０５－３,,生駒市元町１－１４－１－３０５－３,,0743-73-5150,その他の食料・飲料販売業,株式会社トリプルスター・エンターテインメント,,,東大阪市東石切町    ４－１－５,,0743-74-5800,R03.09.28,,321,ＩＫＯＭＡＹＡ,0743,0743-73-5150,,,,生駒市元町１－１４－１－３０５－３,奈良県生駒市元町１－１４－１－３０５－３,,173533,29,29209,元町１,2021/09/28,,,,,株式会社トリプルスター・エンターテインメント,,0743-74-5800,東大阪市東石切町    ４－１－５,大阪府東大阪市東石切町４－１－５,,162049,大阪府,東大阪市,東石切町４,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,ＩＫＯＭＡＹＡ0743-73-515017353329209,f22a7994-f0dc-4782-a561-174eecd68013,株式会社トリプルスター・エンターテインメント162049,071fd99b-f144-4243-8620-c9a0d0d6b481,6eddc875-aa46-42f4-abf2-765ffd30352b,2021/09/28,ＩＫＯＭＡＹＡ,ＩＫＯＭＡＹＡ,株式会社トリプルスター・エンターテインメント
3325,ＩＫＯＭＡＹＡ,生駒市元町    １－１３－１－２０３－４,,生駒市元町,,１－１３－１－２０３－４,生駒市元町１－１３－１－２０３－４,,生駒市元町１－１３－１－２０３－４,,0743-73-5150,その他の食料・飲料販売業,株式会社トリプルスター・エンターテインメント,,,東大阪市東石切町    ４－１－５,,0743-74-5800,R03.09.28,,321,ＩＫＯＭＡＹＡ,0743,0743-73-5150,,,,生駒市元町１－１３－１－２０３－４,奈良県生駒市元町１－１３－１－２０３－４,,173533,29,29209,元町１,2021/09/28,,,,,株式会社トリプルスター・エンターテインメント,,0743-74-5800,東大阪市東石切町    ４－１－５,大阪府東大阪市東石切町４－１－５,,162049,大阪府,東大阪市,東石切町４,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,ＩＫＯＭＡＹＡ0743-73-515017353329209,f22a7994-f0dc-4782-a561-174eecd68013,株式会社トリプルスター・エンターテインメント162049,071fd99b-f144-4243-8620-c9a0d0d6b481,be4bf010-cefb-4f6e-ade8-90acce854a86,2021/09/28,ＩＫＯＭＡＹＡ,ＩＫＯＭＡＹＡ,株式会社トリプルスター・エンターテインメント
3327,いろは薬局,大和郡山市九条平野町    ３－２５－１,,大和郡山市九条平野町,,３－２５－１,大和郡山市九条平野町３－２５－１,,大和郡山市九条平野町３－２５－１,,0743-25-7940,食品販売業,,,,,,,R03.09.30,,321,いろは薬局,0743,0743-25-7940,,,,大和郡山市九条平野町３－２５－１,奈良県大和郡山市九条平野町３－２５－１,,172844,29,29203,九条平野町,2021/09/30,,,,,,,,,,,,,,,,,食肉販売業,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,58,583,,いろは薬局0743-25-794017284429203,3297be03-a336-4900-8cf4-3e23c636cd81,,personal,fa1f1ed7-ce99-4321-9e46-6b62a5b986f9,2021/09/30,いろは薬局,いろは薬局,
3328,ｃａｆｅ    ＳＵＮＷＯＯＤ,山辺郡山添村三ヶ谷    １８１２－１,,山辺郡山添村三ヶ谷,,１８１２－１,山辺郡山添村三ヶ谷１８１２－１,,山辺郡山添村三ヶ谷１８１２－１,,0743-87-2012,その他の食料・飲料販売業,社会福祉法人    大和会,,,山辺郡山添村大字切幡字番下谷    １４３２ー１１８,,0743-87-0510,R03.09.29,,321,ｃａｆｅ    ＳＵＮＷＯＯＤ,0743,0743-87-2012,,,,山辺郡山添村三ヶ谷１８１２－１,奈良県山辺郡山添村三が谷１８１２－１,,173893,29,29322,三が谷,2021/09/29,,,,,社会福祉法人    大和会,,0743-87-0510,山辺郡山添村大字切幡字番下谷    １４３２ー１１８,奈良県山辺郡山添村切幡字番下谷１４３２－１１８,,173878,奈良県,山辺郡山添村,切幡,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,ｃａｆｅＳＵＮＷＯＯＤ0743-87-201217389329322,dad4b71e-9bf1-45f0-84e8-e72ad1f841f4,社会福祉法人　大和会173878,828cadba-74a3-4a20-9668-b1bedecebf65,85e4b42d-e90d-40ed-b826-8135634686c7,2021/09/29,ｃａｆｅ　ＳＵＮＷＯＯＤ,ｃａｆｅＳＵＮＷＯＯＤ,社会福祉法人　大和会
3331,ＩＫＯＭＡＹＡ,生駒市元町    １－１４－１－３０５－３,,生駒市元町,,１－１４－１－３０５－３,生駒市元町１－１４－１－３０５－３,,生駒市元町１－１４－１－３０５－３,,0743-73-5150,その他の食料・飲料販売業,株式会社トリプルスター・エンターテインメント,,,東大阪市東石切町    ４－１－５,,0743-74-5800,R03.09.28,,321,ＩＫＯＭＡＹＡ,0743,0743-73-5150,,,,生駒市元町１－１４－１－３０５－３,奈良県生駒市元町１－１４－１－３０５－３,,173533,29,29209,元町１,2021/09/28,,,,,株式会社トリプルスター・エンターテインメント,,0743-74-5800,東大阪市東石切町    ４－１－５,大阪府東大阪市東石切町４－１－５,,162049,大阪府,東大阪市,東石切町４,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,ＩＫＯＭＡＹＡ0743-73-515017353329209,f22a7994-f0dc-4782-a561-174eecd68013,株式会社トリプルスター・エンターテインメント162049,071fd99b-f144-4243-8620-c9a0d0d6b481,ca6047b8-594b-476a-ad73-1fb57df74e7f,2021/09/28,ＩＫＯＭＡＹＡ,ＩＫＯＭＡＹＡ,株式会社トリプルスター・エンターテインメント
