,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,業種,業態,確認番号,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,許可年月日,開業年月日,許可期間開始日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設番号,業種,種目,許可番号,営業所名称,営業所所在地,,,営業所電話番号,申請者名,許可年月日,初回許可年月日,初回開始年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
54143,漬物製造業,漬物製造業,54143-02-2901,漬物　ホシナ,白石市斉川字高畑前２９－５,白石市斉川字高畑前２９－５,,,保科　よう子,R 4. 6. 3,R 4. 6. 3,R 4. 6.21,,仙南保健所,漬物　ホシナ,0224,,,,,白石市斉川字高畑前２９－５,宮城県白石市斉川字高畑前２９－５,,39447,宮城県,白石市,,,2022/06/03,2022/06/03,2022/06/21,,,,,,,,,,,,54143-02-2901,,漬物製造業, 漬物製造業,,,050-056_宮城県_宮城県一括_食品衛生()_2022年06月_末日,製造業,食料品製造業,,,,,,,,,漬物　ホシナ,漬物ホシナ,,,1,,,,,
57311,魚介類販売業,魚介類販売業,57311-01-0401,小野鮮魚ストアー,白石市白川津田内堀７８,白石市白川津田内堀７８,,0224-27-2028,小野　和雄,R 4. 6. 3,R 4. 6. 3,R 4. 6.21,,仙南保健所,小野鮮魚ストアー,0224,0224-27-2028,,,,白石市白川津田内堀７８,宮城県白石市白川津田内堀７８,,39464,宮城県,白石市,白川津田,,2022/06/03,2022/06/03,2022/06/21,,,,,,,,,,,,57311-01-0401,,魚介類販売業, 魚介類販売業,,,050-056_宮城県_宮城県一括_食品衛生()_2022年06月_末日,卸売業，小売業,飲食料品小売業,,,,,,,,,小野鮮魚ストアー,小野鮮魚ストア,,,1,,,,,
57654,清涼飲料水製造業,清涼飲料水製造業,57654-01-1401,丸治農園,刈田郡蔵王町宮字小山田９７,刈田郡蔵王町宮字小山田９７,,0224-32-3254,佐藤　宏一,R 4. 6. 1,R 4. 6. 1,R 4. 6.21,,仙南保健所,丸治農園,0224,0224-32-3254,,,,刈田郡蔵王町宮字小山田９７,宮城県刈田郡蔵王町宮字小山田９７,,43674,宮城県,刈田郡蔵王町,宮,,2022/06/01,2022/06/01,2022/06/21,,,,,,,,,,,,57654-01-1401,,清涼飲料水製造業, 清涼飲料水製造業,,,050-056_宮城県_宮城県一括_食品衛生()_2022年06月_末日,製造業,飲料・たばこ・飼料製造業,,,,,,,,,丸治農園,丸治農園,,,1,,,,,
57683,飲食店営業,飲食店営業,57683-01-0101,角屋,角田市角田字田町７５,角田市角田字田町７５,,0224-63-2080,東　雪子,R 4. 6. 3,R 4. 6. 3,R 4. 6.21,,仙南保健所,角屋,0224,0224-63-2080,,,,角田市角田字田町７５,宮城県角田市角田字田町７５,,39644,宮城県,角田市,角田,,2022/06/03,2022/06/03,2022/06/21,,,,,,,,,,,,57683-01-0101,,飲食店営業, 飲食店営業,,,050-056_宮城県_宮城県一括_食品衛生()_2022年06月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,角屋,角屋,,,1,,,,,
57709,漬物製造業,漬物製造業,57709-01-2901,あずだす,伊具郡丸森町大内山屋敷131,伊具郡丸森町大内山屋敷１３１,,0224-79-2549,佐藤けい子,R 4. 6. 3,R 4. 6. 3,R 4. 6.21,,仙南保健所,あずだす,0224,0224-79-2549,,,,伊具郡丸森町大内山屋敷１３１,宮城県伊具郡丸森町大内山屋敷１３１,,43777,宮城県,伊具郡丸森町,大内,,2022/06/03,2022/06/03,2022/06/21,,,,,,,,,,,,57709-01-2901,,漬物製造業, 漬物製造業,,,050-056_宮城県_宮城県一括_食品衛生()_2022年06月_末日,製造業,食料品製造業,,,,,,,,,あずだす,あずだす,,,1,,,,,
57885,食肉処理業,食肉処理業,57885-01-0901,はらから福祉会　みずきの里丸森,伊具郡丸森町大内横手１９,伊具郡丸森町大内横手１９,,0224-79-2141,社会福祉法人　はらから福祉会,R 4. 6.13,R 4. 6.13,R 4. 6.13,,仙南保健所,はらから福祉会　みずきの里丸森,0224,0224-79-2141,,,,伊具郡丸森町大内横手１９,宮城県伊具郡丸森町大内横手１９,,43777,宮城県,伊具郡丸森町,大内,,2022/06/13,2022/06/13,2022/06/13,,社会福祉法人　はらから福祉会,,,,,,,,,,57885-01-0901,,食肉販売業, 食肉処理業,,,050-056_宮城県_宮城県一括_食品衛生()_2022年06月_末日,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,はらから福祉会　みずきの里丸森,はらから福祉会みずきの里丸森,社会福祉法人はらから福祉会,,1,,,,,
57905,複合型冷凍食品製造業,複合型冷凍食品製造業,57905-01-2801,株式会社ニチレイフーズ白石工場,白石市白鳥１丁目１６番地の２,白石市白鳥１丁目１６番地の２,,0224-25-7181,株式会社ニチレイフーズ,R 4. 6.10,R 4. 6.10,R 4. 6.10,,仙南保健所,株式会社ニチレイフーズ白石工場,0224,0224-25-7181,,,,白石市白鳥１丁目１６番地の２,宮城県白石市白鳥１丁目１６番地ノ２,,39512,宮城県,白石市,白鳥１,,2022/06/10,2022/06/10,2022/06/10,,株式会社ニチレイフーズ,,,,,,,,,,57905-01-2801,,冷凍食品製造業, 複合型冷凍食品製造業,,,050-056_宮城県_宮城県一括_食品衛生()_2022年06月_末日,製造業,食料品製造業,,,,,,,,,株式会社ニチレイフーズ白石工場,株式会社ニチレイフズ白石工場,株式会社ニチレイフーズ,,1,,,,,
