https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-電話番号1,申請者1,確認番号,許可年月日,業種,申請-電話番号1,開業年月日,その他,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,,営業所所在地,営業所TEL1,営業者名,許可番号,許可開始日,業種,"営業者TEL1
情報公開用",初回許可日,申請区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
cafe　ing,豊島区,駒込一丁目19番5号,070-3773-0779,内山亜紀子,1-02-2503,令和3年4月26日,【~R3.5】喫茶店営業(喫茶店舗),,令和3年4月26日,新規,,195,cafe　ing,03,070-3773-0779,,,,豊島区　駒込一丁目19番5号,東京都豊島区駒込１丁目１９番５号,,74794,13,13116,駒込１,,2021/04/26,2021/04/26,,,,内山亜紀子,,,,,,,,,1-02-2503,,喫茶店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ｃａｆｅｉｎｇ070-3773-07797479413116,9023c017-e933-4563-90a6-d98b4136e447,,personal,48f60d97-080e-4178-b26e-20a4e213a849,2021/04/26,ｃａｆｅ　ｉｎｇ,ｃａｆｅｉｎｇ,
栄　屋,豊島区,駒込一丁目23番13号,3941-8692,浅古正明,1-03-1199,令和3年11月22日,1飲食店営業(一般),※※※※※,令和3年11月22日,新規,,195,栄　屋,03,03-3941-8692,,,,豊島区　駒込一丁目23番13号,東京都豊島区駒込１丁目２３番１３号,,74794,13,13116,駒込１,,2021/11/22,2021/11/22,,,,浅古正明,,,,,,,,,1-03-1199,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,栄屋03-3941-86927479413116,6fc7531a-db6b-4c86-94a3-920f6cfdea0b,,personal,45377341-8542-47d7-ad66-10679546605d,2021/11/22,栄　屋,栄屋,
鍛冶屋文蔵　駒込店,豊島区,駒込一丁目43番12号,6912-2801,株式会社だん家,1-03-0799,令和3年9月8日,1飲食店営業(一般),5295-2801,令和3年9月8日,新規,,195,鍛冶屋文蔵　駒込店,03,03-6912-2801,,,,豊島区　駒込一丁目43番12号,東京都豊島区駒込１丁目４３番１２号,,74794,13,13116,駒込１,,2021/09/08,2021/09/08,,,株式会社だん家,,03-5295-2801,,,,,,,,1-03-0799,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,鍛冶屋文蔵駒込店03-6912-28017479413116,5b4ad143-909f-4554-b47c-15d380b3ab04,株式会社だん家,33e256da-37b8-4af8-a918-ee5eff6d2bed,40d2ef34-252d-42cc-a7ff-a6387fb6ddae,2021/09/08,鍛冶屋文蔵　駒込店,鍛冶屋文蔵駒込店,株式会社だん家
ニューデイズ駒込,豊島区,駒込二丁目1番1号,5319-0383,株式会社JR東日本クロスステーション,1-02-1402,令和2年11月1日,【~R3.5】飲食店営業(飲食一般),050-3644-7177,平成26年10月17日,更新,,195,ニューデイズ駒込,03,03-5319-0383,,,,豊島区　駒込二丁目1番1号,東京都豊島区駒込２丁目１番１号,,74795,13,13116,駒込２,,2014/10/17,2020/11/01,,,株式会社JR東日本クロスステーション,,050-3644-7177,,,,,,,,1-02-1402,,飲食店営業,,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ニュデイズ駒込03-5319-03837479513116,5c026e2e-b7fa-4ee1-803b-e46145fbb358,株式会社ＪＲ東日本クロスステーション,ae78b9ac-a867-4e93-8d83-1fc5ca8285b6,b4ca87c6-db5d-43f6-895b-0f95fa3e2f74,2020/11/01,ニューデイズ駒込,ニュデイズ駒込,株式会社ＪＲ東日本クロスステーション
(株)銀座コージーコーナー 　ホテルメッツ駒込店,豊島区,駒込二丁目1番39号,5319-1710,株式会社銀座コージーコーナー,1-03-0892,令和3年9月15日,11菓子製造業(生菓子·洋生菓子),5228-5711,令和3年9月15日,新規,,195,(株)銀座コージーコーナー 　ホテルメッツ駒込店,03,03-5319-1710,,,,豊島区　駒込二丁目1番39号,東京都豊島区駒込２丁目１番３９号,,74795,13,13116,駒込２,,2021/09/15,2021/09/15,,,株式会社銀座コージーコーナー,,03-5228-5711,,,,,,,,1-03-0892,,菓子製造業,（生菓子・洋生菓子）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,株式会社銀座コジコナホテルメッツ駒込店03-5319-17107479513116,c6a068c0-ca32-412c-a82b-3c48b178c24d,株式会社銀座コージーコーナー,2401b718-0a02-499d-bff2-bcb6dc2eaa17,945027e3-1486-49c7-a94f-260df5defa26,2021/09/15,株式会社銀座コージーコーナー　ホテルメッツ駒込店,株式会社銀座コジコナホテルメッツ駒込店,株式会社銀座コージーコーナー
廻(めぐる)駒込店,豊島区,駒込二丁目9番11号,03-5972-1880,株式会社結,1-03-00081,令和3年4月16日,【~R3.5】飲食店営業(飲食一般·酒場),03-4400-2955,令和3年4月16日,新規,,195,廻(めぐる)駒込店,03,03-5972-1880,,,,豊島区　駒込二丁目9番11号,東京都豊島区駒込２丁目９番１１号,,74795,13,13116,駒込２,,2021/04/16,2021/04/16,,,株式会社結,,03-4400-2955,,,,,,,,1-03-00081,,飲食店営業,（酒場）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,廻めぐる駒込店03-5972-18807479513116,19172362-ef43-4781-923f-677f2dd8c7d2,株式会社結,9db245eb-8af7-44a1-8d33-767ddeb39d0b,96d80504-fe21-457b-98fb-b6a08c061b35,2021/04/16,廻（めぐる）駒込店,廻めぐる駒込店,株式会社結
駒込生活実習所·福祉作業所内(株)レパスト事業所,豊島区,駒込四丁目7番1号,,株式会社レパスト,1-31-00822,令和元年8月20日,【~R3.5】飲食店営業(飲食給食),3541-1751,令和元年8月20日,新規,,195,駒込生活実習所·福祉作業所内(株)レパスト事業所,03,,,,,豊島区　駒込四丁目7番1号,東京都豊島区駒込４丁目７番１号,,74797,13,13116,駒込４,,2019/08/20,2019/08/20,,,株式会社レパスト,,03-3541-1751,,,,,,,,1-31-00822,,飲食店営業,（給食）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,駒込生活実習所福祉作業所内株式会社レパスト事業所7479713116,e51f336e-d3d8-425b-85f8-84a560f38971,株式会社レパスト,d8e22c6b-9357-4a7c-9047-76f0fc519a69,b09e448d-2c7d-4798-8455-e51702971ceb,2019/08/20,駒込生活実習所・福祉作業所内株式会社レパスト事業所,駒込生活実習所福祉作業所内株式会社レパスト事業所,株式会社レパスト
シュプール,豊島区,巣鴨一丁目13番4号,3947-0673,桝井邦子,1-03-01211,令和3年11月22日,1飲食店営業(一般),※※※※※,令和3年11月22日,新規,,195,シュプール,03,03-3947-0673,,,,豊島区　巣鴨一丁目13番4号,東京都豊島区巣鴨１丁目１３番４号,,74801,13,13116,巣鴨１,,2021/11/22,2021/11/22,,,,桝井邦子,,,,,,,,,1-03-01211,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,シュプル03-3947-06737480113116,3ddfa80a-1c50-404c-a9b6-30c37575bb84,,personal,4e7c3c25-5338-45fb-ba8b-0f7b70e1e92a,2021/11/22,シュプール,シュプル,
ニューデイズ　巣鴨,豊島区,巣鴨一丁目16番1号,5961-5285,株式会社JR東日本クロスステーション,1-28-01257,平成28年10月31日,【~R3.5】飲食店営業(飲食一般),050-3644-7177,平成28年10月31日,新規,,195,ニューデイズ　巣鴨,03,03-5961-5285,,,,豊島区　巣鴨一丁目16番1号,東京都豊島区巣鴨１丁目１６番１号,,74801,13,13116,巣鴨１,,2016/10/31,2016/10/31,,,株式会社JR東日本クロスステーション,,050-3644-7177,,,,,,,,1-28-01257,,飲食店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ニュデイズ巣鴨03-5961-52857480113116,5c2fa23b-3441-4736-aef9-596e829b60ca,株式会社ＪＲ東日本クロスステーション,ae78b9ac-a867-4e93-8d83-1fc5ca8285b6,acf14a05-6284-49d1-9c31-a02f78367ff3,2016/10/31,ニューデイズ　巣鴨,ニュデイズ巣鴨,株式会社ＪＲ東日本クロスステーション
ラウンジ　寿々女,豊島区,巣鴨一丁目17番4号,3945-1619,下田正子,1-03-01264,,1飲食店営業(一般),※※※※※,,新規,,195,ラウンジ　寿々女,03,03-3945-1619,,,,豊島区　巣鴨一丁目17番4号,東京都豊島区巣鴨１丁目１７番４号,,74801,13,13116,巣鴨１,,,,,,,下田正子,,,,,,,,,1-03-01264,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ラウンジ寿女03-3945-16197480113116,6ec0c0a8-ebf5-4117-af62-c9947b19c37d,,personal,6d909d6b-c9b5-450d-9921-28c142d8a2b4,2021/11/01,ラウンジ　寿々女,ラウンジ寿女,
