https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,,業種,業態,施設-住所1,施設-マンション名,緯度,経度,施設-電話番号1,申請者1,法人番号,申請-住所1,申請-マンション名,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,,その他,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自治体コード,行番号,都道府県名,市区町村名,営業施設名称、屋号又は商号,営業施設名称、屋号又は商号（フリガナ）,営業の種類,業態,営業施設所在地,営業施設方書,緯度,経度,営業施設電話番号,法人名,法人番号,法人住所,,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,,備考,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
27207,fBiz00000434380000000014,大阪府,高槻市,２５０５事業所,ニーゴーゼロゴージギョウショ,① 飲食店営業,委託給食,大阪府高槻市土室町４３－１,,34.846223,135.583256,,一冨士フードサービス株式会社,9120001109274,大阪府大阪市北区梅田３丁目３番２０号,,6846,2021/12/10,2021/12/10,2021/12/10,2027/12/28,,許可,生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,,288,２５０５事業所,072,,,,,大阪府高槻市土室町４３－１,大阪府高槻市土室町４３－１,,158257,27,27207,土室町,,2021/12/10,2021/12/10,2021/12/10,2027/12/28,一冨士フードサービス株式会社,,,大阪府大阪市北区梅田３丁目３番２０号,大阪府大阪市北区梅田３丁目３番２０号,,155830,大阪府,大阪市北区,梅田３,6846,,飲食店営業, 委託給食,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,9120001109274,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,２５０５事業所15825727207,27c07174-8956-4e95-943d-c340f2e2c363,一冨士フードサービス株式会社155830,da6ac73d-657f-4202-ad53-c4c009f100c5,68d04228-027b-4a23-95c9-b84fcf18ec1f,2021/12/10,２５０５事業所,２５０５事業所,一冨士フードサービス株式会社
27207,fBiz00000444560000000001,大阪府,高槻市,,,① 飲食店営業,軽食・喫茶,,,,,,,,,,6099,2021/6/28,2021/6/28,2021/6/28,2027/6/30,,許可,生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,,288,,,,,,,,大阪府,,,27,,,,2021/06/28,2021/06/28,2021/06/28,2027/06/30,,,,,,,,,,,6099,,飲食店営業, 軽食・喫茶,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,,b5e39cb8-38d9-48aa-934f-dc7e23050119,,personal,b5542c62-b446-470f-80eb-5c2c2db7e207,2021/06/28,,,
27207,fBiz00000453530000000001,大阪府,高槻市,ＫＥＢＡＢ　ＴＩＭＥ,ケバブ　タイム,① 飲食店営業,自動車（Ⅲ型）,大阪府高槻市内一円,,34.850275,135.61978,,ベルチンハジ,,,,6102,2021/6/25,2021/6/25,2021/6/25,2026/6/30,,許可,営業車は「岐阜　８００　そ　２１６」に限る。／生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,許可、営業車は「岐阜　８００　そ　２１６」に限る。／生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,,288,ＫＥＢＡＢ　ＴＩＭＥ,,,,,,大阪府高槻市内一円,大阪府高槻市内一円,,,27,,,,2021/06/25,2021/06/25,2021/06/25,2026/06/30,,ベルチンハジ,,,,,,,,,6102,,飲食店営業, 自動車（Ⅲ型）,許可、営業車は「岐阜　８００　そ　２１６」に限る。／生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ＫＥＢＡＢＴＩＭＥ,91fe1397-1048-40a5-bcc3-4047b75b4bb6,,personal,9322f578-ea19-4e7b-907a-a92197939a34,2021/06/25,ＫＥＢＡＢ　ＴＩＭＥ,ＫＥＢＡＢＴＩＭＥ,
27207,fBiz00000472130000000026,大阪府,高槻市,ジョリーパスタ　高槻店,ジョリーパスタ　タカツキテン,① 飲食店営業,ファミリーレストラン,大阪府高槻市春日町2-30,,34.84033,135.629953,,株式会社ジョリーパスタ,6010401073811,東京都港区港南二丁目18番1号,,6781,2021/10/11,2021/10/11,2021/10/11,2027/10/31,,許可,生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,,288,ジョリーパスタ　高槻店,072,,,,,大阪府高槻市春日町2-30,大阪府高槻市春日町２－３０,,158037,27,27207,春日町,,2021/10/11,2021/10/11,2021/10/11,2027/10/31,株式会社ジョリーパスタ,,,東京都港区港南二丁目18番1号,東京都港区港南２丁目１８番１号,,73073,東京都,港区,港南２,6781,,飲食店営業, ファミリーレストラン,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,6010401073811,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ジョリパスタ高槻店15803727207,d1cfa4b6-9299-4dea-97ff-9939b13a7da2,株式会社ジョリーパスタ73073,44dfe430-0d64-478d-9dd4-8e2d0e805841,1947b42a-13c5-4841-b24e-91fcefdccf74,2021/10/11,ジョリーパスタ　高槻店,ジョリパスタ高槻店,株式会社ジョリーパスタ
27207,fBiz00000472130000000033,大阪府,高槻市,ジョリーパスタ　高槻西町店,ジョリーパスタ　タカツキニシマチテン,① 飲食店営業,ファミリーレストラン,大阪府高槻市西町1-1,,34.825143,135.594511,,株式会社ジョリーパスタ,6010401073811,東京都港区港南二丁目18番1号,,6208,2021/11/11,2021/11/11,2021/11/11,2027/11/30,,許可,生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,,288,ジョリーパスタ　高槻西町店,072,,,,,大阪府高槻市西町1-1,大阪府高槻市西町１－１,,158224,27,27207,西町,,2021/11/11,2021/11/11,2021/11/11,2027/11/30,株式会社ジョリーパスタ,,,東京都港区港南二丁目18番1号,東京都港区港南２丁目１８番１号,,73073,東京都,港区,港南２,6208,,飲食店営業, ファミリーレストラン,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,6010401073811,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ジョリパスタ高槻西町店15822427207,50d46a54-a981-4f4b-b9da-cc3b0d4bde2e,株式会社ジョリーパスタ73073,44dfe430-0d64-478d-9dd4-8e2d0e805841,3376b510-bb9e-4ac2-b8f7-8ea7bf968b09,2021/11/11,ジョリーパスタ　高槻西町店,ジョリパスタ高槻西町店,株式会社ジョリーパスタ
27207,fBiz00000485150000000001,大阪府,高槻市,にしがき　実 ,ニシガキミノル ,① 飲食店営業,居酒屋,大阪府高槻市城北町２丁目１３－２５,,34.848454,135.622951,,西垣実,,,,6104,2021/7/21,2021/7/21,2021/7/21,2027/7/31,,許可,生食用食肉の加工及び調理を禁ずる。／ふぐの処理を認める。,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を認める。,,,288,にしがき　実 ,072,,,,,大阪府高槻市城北町２丁目１３－２５,大阪府高槻市城北町２丁目１３－２５,,158134,27,27207,城北町２,,2021/07/21,2021/07/21,2021/07/21,2027/07/31,,西垣実,,,,,,,,,6104,,飲食店営業, 居酒屋,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を認める。,,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,にしがき実15813427207,00288_9a8bbc7b-8d17-4f9c-9b03-9f0ffeb3497c,,personal,a7a462f6-3924-4974-9307-1cc9a93d940c,2021/07/21,にしがき　実　,にしがき実,
27207,fBiz00000495870000000092,大阪府,高槻市,ピザーラ高槻,ピザーラタカツキ,⑬ その他の食料・飲料販売業,,大阪府高槻市天神町2-4-1,,34.855845,135.615523,,株式会社フォーシーズ,1010401049915,東京都港区南青山５丁目１２番４号,,,,,,,,届出,,届出 ,,,288,ピザーラ高槻,072,,,,,大阪府高槻市天神町2-4-1,大阪府高槻市天神町２－４－１,,158176,27,27207,天神町２,,,,,,株式会社フォーシーズ,,,東京都港区南青山５丁目１２番４号,東京都港区南青山５丁目１２番４号,,73141,東京都,港区,南青山５,,,食料品販売業,,届出 ,1010401049915,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,A,58,581,5811,ピザラ高槻15817627207,006bbf51-312f-4551-b7bd-82d073711f2f,株式会社フォーシーズ73141,c5fbb3a3-9b5e-4467-bbde-08af8c60b4da,91f9b192-c345-40b3-b6f2-e9ee158d39d2,2021/12/01,ピザーラ高槻,ピザラ高槻,株式会社フォーシーズ
27207,fBiz00000925170000000015,大阪府,高槻市,プレミア高槻,プレミアタカツキ,⑤ コップ式自動販売機（自動洗浄・屋内設置）,,大阪府高槻市芥川町1丁目8-27,,34.853074,135.617706,,ヨシムラコーヒー株式会社,7140001021454,兵庫県神戸市東灘区魚崎北町１丁目８番２９号,,,,,,,,届出,,届出 ,,,288,プレミア高槻,072,,,,,大阪府高槻市芥川町1丁目8-27,大阪府高槻市芥川町１丁目８－２７,,157982,27,27207,芥川町１,,,,,,ヨシムラコーヒー株式会社,,,兵庫県神戸市東灘区魚崎北町１丁目８番２９号,兵庫県神戸市東灘区魚崎北町１丁目８番２９号,,162956,兵庫県,神戸市東灘区,魚崎北町１,,,コップ式自動販売機,,届出 ,7140001021454,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,I,61,612,,プレミア高槻15798227207,34bc1d6b-eb41-40e2-abc9-fd4e80111484,ヨシムラコーヒー株式会社162956,15d4df4e-22d2-40c3-bbb0-0c6172bebdbb,4d47294b-ec12-44d4-8bd4-0e8cc1e1e08a,2021/12/01,プレミア高槻,プレミア高槻,ヨシムラコーヒー株式会社
27207,fBiz00000521320000000001,大阪府,高槻市,,,① 飲食店営業,自動車（Ⅱ型）,,,,,,,,,,6107,2021/7/6,2021/7/6,2021/7/6,2026/7/31,,許可,営業車は「大阪400む7553」に限る。／生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,許可、営業車は「大阪400む7553」に限る。／生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,,288,,,,,,,,大阪府,,,27,,,,2021/07/06,2021/07/06,2021/07/06,2026/07/31,,,,,,,,,,,6107,,飲食店営業, 自動車（Ⅱ型）,許可、営業車は「大阪400む7553」に限る。／生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,,b5e39cb8-38d9-48aa-934f-dc7e23050119,,personal,3e0cba2d-8342-4479-a0a0-109b654ca716,2021/07/06,,,
27207,fBiz00000532590000000079,大阪府,高槻市,ローソンＨＡ阪急高槻市店,ローソンエイチエーハンキュウタカツキシテン,① 飲食店営業,コンビニ,大阪府高槻市城北町２丁目１－１８,阪急高槻市駅改札外,34.849812,135.623152,070-8699-5364,株式会社アズナス,7120001220561,大阪府大阪市北区角田町8番7号,,6209,2021/11/19,2021/11/19,2021/11/19,2027/11/30,,許可,生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,,288,ローソンＨＡ阪急高槻市店,072,070-8699-5364,,,,大阪府高槻市城北町２丁目１－１８,大阪府高槻市城北町２丁目１－１８,阪急高槻市駅改札外,158134,27,27207,城北町２,,2021/11/19,2021/11/19,2021/11/19,2027/11/30,株式会社アズナス,,,大阪府大阪市北区角田町8番7号,大阪府大阪市北区角田町８番７号,,155834,大阪府,大阪市北区,角田町,6209,,飲食店営業, コンビニ,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,7120001220561,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ロソンＨＡ阪急高槻市店070-8699-536415813427207,c1cfe809-e0e4-4f3a-b56d-0b492cecc134,株式会社アズナス155834,39190041-ea31-4e9a-a727-8625cc044e4d,22d317cc-5f30-4d10-adff-12e58e2425a5,2021/11/19,ローソンＨＡ阪急高槻市店,ロソンＨＡ阪急高槻市店,株式会社アズナス
27207,fBiz00000536820000000001,大阪府,高槻市,,,① 飲食店営業,コンビニ,,,,,,,,,,6711,2021/7/8,2021/7/8,2021/7/8,2027/7/31,,許可,生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,,288,,,,,,,,大阪府,,,27,,,,2021/07/08,2021/07/08,2021/07/08,2027/07/31,,,,,,,,,,,6711,,飲食店営業, コンビニ,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,,b5e39cb8-38d9-48aa-934f-dc7e23050119,,personal,0507a6d0-0a86-47be-9010-0fb27adb8915,2021/07/08,,,
27207,fBiz00001127450000000001,大阪府,高槻市,,,① 飲食店営業,軽食・喫茶,,,,,,,,,,6187,2021/11/22,2021/11/22,2021/11/22,2027/11/30,,許可,生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,,288,,,,,,,,大阪府,,,27,,,,2021/11/22,2021/11/22,2021/11/22,2027/11/30,,,,,,,,,,,6187,,飲食店営業, 軽食・喫茶,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,,b5e39cb8-38d9-48aa-934f-dc7e23050119,,personal,3957bbff-35c7-4f11-b95f-fbf9c3ac151c,2021/11/22,,,
