https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,確認番号,申請者1,申請者2,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設名,施設-電話番号1,業種,業態,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台帳番号,許可番号,申請者法人名称,申請者氏名,,営業施設所在地,,,営業施設名称,営業施設電話番号,営業の種類,業態,許可年月日,許可満了日,初回許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
40-002341,南生指令第198,,杉崎 一男,神奈川県,横浜市南区中島町4-86,横浜市南区中島町４－８６,,魚杉商店 ,045-715-1030,魚介類販売業,,2022年1月20日,2028年1月19日,2022年1月20日,,141,魚杉商店 ,045,045-715-1030,,,,神奈川県　横浜市南区中島町４－８６,神奈川県横浜市南区中島町４－８６,,78843,14,14105,中島町４,,2022/01/20,2022/01/20,,2028/01/19,,杉崎 一男,,,,,,,,,南生指令第198,,魚介類販売業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗14,I,58,,,魚杉商店045-715-10307884314105,a725634f-1b5b-4e06-abcf-75a5f3e19c03,,personal,7b502100-c9d8-440b-993f-643c61061228,2022/01/20,魚杉商店　,魚杉商店,
40-003128,南生指令第200,,家田 耕太郎,神奈川県,横浜市南区別所3-15-15,横浜市南区別所３－１５－１５,,居酒屋　太閤 ,045-716-0380,飲食店営業,,2022年1月22日,2028年1月21日,2022年1月22日,,141,居酒屋　太閤 ,045,045-716-0380,,,,神奈川県　横浜市南区別所３－１５－１５,神奈川県横浜市南区別所３－１５－１５,,78871,14,14105,別所３,,2022/01/22,2022/01/22,,2028/01/21,,家田 耕太郎,,,,,,,,,南生指令第200,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗14,M,76,,,居酒屋太閤045-716-03807887114105,f924494f-def3-4d62-b0ba-f835108da2d1,,personal,96e911ba-1171-4492-bfb5-77907a764cf7,2022/01/22,居酒屋　太閤　,居酒屋太閤,
40-004838,南生指令第195,,山田 政美,神奈川県,横浜市南区榎町2-62 ハマミビル2F,横浜市南区榎町２－６２,ハマミビル２F,カラオケ＆パブ　ポテト ,045-743-0021,飲食店営業,,2022年1月7日,2028年1月6日,2022年1月7日,,141,カラオケ＆パブ　ポテト ,045,045-743-0021,,,,神奈川県　横浜市南区榎町２－６２,神奈川県横浜市南区榎町２－６２,ハマミビル２F,78786,14,14105,榎町２,,2022/01/07,2022/01/07,,2028/01/06,,山田 政美,,,,,,,,,南生指令第195,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗14,M,76,,,カラオケパブポテト045-743-00217878614105,a7f1037f-e232-46b2-a48b-6d46062f1825,,personal,1b58e7d1-b851-40b0-9b4a-75520bbef888,2022/01/07,カラオケ＆パブ　ポテト　,カラオケパブポテト,
40-005722,南生指令第219,株式会社すき家,,神奈川県,横浜市南区高根町3-17-4 サンコート大通公園横浜阪東橋,横浜市南区高根町３－１７－４,サンコート大通公園横浜阪東橋,すき家　阪東橋店 ,045-261-3306,飲食店営業,,2022年1月31日,2029年1月30日,2022年1月31日,,141,すき家　阪東橋店 ,045,045-261-3306,,,,神奈川県　横浜市南区高根町３－１７－４,神奈川県横浜市南区高根町３－１７－４,サンコート大通公園横浜阪東橋,78829,14,14105,高根町３,,2022/01/31,2022/01/31,,2029/01/30,株式会社すき家,,,,,,,,,,南生指令第219,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗14,M,76,,,すき家阪東橋店045-261-33067882914105,c29977de-7c9f-4524-9aa8-c1e571effcde,株式会社すき家,f68ec1d4-976c-4a8b-8d22-f33076eedfbf,d4f492fb-218e-4127-bab4-ea09d9d2cf1b,2022/01/31,すき家　阪東橋店　,すき家阪東橋店,株式会社すき家
40-031647,南生指令第202,有限会社入江商店,,神奈川県,横浜市南区別所3-16-22,横浜市南区別所３－１６－２２,,セブン‐イレブン　横浜別所３丁目店 ,045-714-7786,飲食店営業,,2022年1月25日,2028年1月24日,2022年1月25日,,141,セブン‐イレブン　横浜別所３丁目店 ,045,045-714-7786,,,,神奈川県　横浜市南区別所３－１６－２２,神奈川県横浜市南区別所３－１６－２２,,78871,14,14105,別所３,,2022/01/25,2022/01/25,,2028/01/24,有限会社入江商店,,,,,,,,,,南生指令第202,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗14,M,76,,,セブンイレブン横浜別所３丁目店045-714-77867887114105,00141_55963deb-3e33-4968-bf5d-0b0ca439d69d,有限会社入江商店,5b5f32f4-7cfd-46a1-b318-858d1fa70250,ec0a633b-01a2-46d2-ae3f-228a6d4a33cb,2022/01/25,セブンイレブン　横浜別所３丁目店　,セブンイレブン横浜別所３丁目店,有限会社入江商店
40-031653,南生指令第190,,片山 久照,神奈川県,横浜市南区井土ケ谷中町127-1 ルネ横浜アーバンテラス 1F,横浜市南区井土ケ谷中町１２７－１,ルネ横浜アーバンテラス １F,寿司　久 ,045-742-8688,飲食店営業,,2022年1月21日,2028年1月20日,2022年1月21日,,141,寿司　久 ,045,045-742-8688,,,,神奈川県　横浜市南区井土ケ谷中町１２７－１,神奈川県横浜市南区井土が谷中町１２７－１,ルネ横浜アーバンテラス １F,78777,14,14105,井土が谷中町,,2022/01/21,2022/01/21,,2028/01/20,,片山 久照,,,,,,,,,南生指令第190,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗14,M,76,,,寿司久045-742-86887877714105,c3b27ac1-ad0e-41eb-a48a-d60655ec60e0,,personal,07bf5239-2249-41c4-9e25-6df94ca588f2,2022/01/21,寿司　久　,寿司久,
40-034019,南生指令第183,,内澤 錦太郎,神奈川県,横浜市南区大岡3-2-25,横浜市南区大岡３－２－２５,,ファミリーマート大岡三丁目店 ,045-720-0173,飲食店営業,,2022年1月8日,2029年1月7日,2022年1月8日,,141,ファミリーマート大岡三丁目店 ,045,045-720-0173,,,,神奈川県　横浜市南区大岡３－２－２５,神奈川県横浜市南区大岡３－２－２５,,78789,14,14105,大岡３,,2022/01/08,2022/01/08,,2029/01/07,,内澤 錦太郎,,,,,,,,,南生指令第183,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗14,M,76,,,ファミリマト大岡三丁目店045-720-01737878914105,00141_26d7eb1c-24b7-4cbb-943c-f2f787bf1681,,personal,7efa7421-cc2e-4ee0-b0b4-7f63182dea9b,2022/01/08,ファミリーマート大岡三丁目店　,ファミリマト大岡三丁目店,
40-034056,南生指令第213,有限会社ベイコーポレーション,,神奈川県,横浜市南区大岡2-4-3,横浜市南区大岡２－４－３,,ローソン・スリーエフ　弘明寺店 ,045-715-2977,飲食店営業,,2022年1月30日,2029年1月29日,2022年1月30日,,141,ローソン・スリーエフ　弘明寺店 ,045,045-715-2977,,,,神奈川県　横浜市南区大岡２－４－３,神奈川県横浜市南区大岡２－４－３,,78788,14,14105,大岡２,,2022/01/30,2022/01/30,,2029/01/29,有限会社ベイコーポレーション,,,,,,,,,,南生指令第213,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗14,M,76,,,ロソンスリエフ弘明寺店045-715-29777878814105,00141_4a8775a9-f86a-4bf9-b636-8d169b004792,有限会社ベイコーポレーション,91870c92-d47a-4ff2-81af-e0928139d23a,3f05506b-2d3d-4223-9a57-c93e7e483ea6,2022/01/30,ローソン・スリーエフ　弘明寺店　,ロソンスリエフ弘明寺店,有限会社ベイコーポレーション
40-034329,南生指令第218,社会福祉法人たすけあいゆい,,神奈川県,横浜市南区南吉田町2-17,横浜市南区南吉田町２－１７,,コミュニティサロンおさん ,045-730-4780,飲食店営業,,2022年1月28日,2028年1月27日,2022年1月28日,,141,コミュニティサロンおさん ,045,045-730-4780,,,,神奈川県　横浜市南区南吉田町２－１７,神奈川県横浜市南区南吉田町２－１７,,78889,14,14105,南吉田町２,,2022/01/28,2022/01/28,,2028/01/27,社会福祉法人たすけあいゆい,,,,,,,,,,南生指令第218,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗14,M,76,,,コミュニティサロンおさん045-730-47807888914105,653c5949-141e-4d17-a277-13e50babdfa8,社会福祉法人たすけあいゆい,b3af8af2-d6ed-466d-8dbe-daf649dc8160,31938caa-333e-4d7b-8261-6f27ba0100b9,2022/01/28,コミュニティサロンおさん　,コミュニティサロンおさん,社会福祉法人たすけあいゆい
